section,row,seat,price_usd,selection_type,scraped_at
102,J,5,97.2,resale,2026-04-05T22:24:15Z
102,J,6,97.2,resale,2026-04-05T22:24:15Z
102,JJ,1,97.2,resale,2026-04-05T22:24:15Z
102,JJ,2,97.2,resale,2026-04-05T22:24:15Z
102,M,18,97.2,resale,2026-04-05T22:24:15Z
102,M,19,97.2,resale,2026-04-05T22:24:15Z
102,P,11,97.2,resale,2026-04-05T22:24:15Z
102,P,12,97.2,resale,2026-04-05T22:24:15Z
102,R,12,97.2,resale,2026-04-05T22:24:15Z
102,R,13,97.2,resale,2026-04-05T22:24:15Z
104,FL4,5,191.97,resale,2026-04-05T22:24:15Z
104,FL4,6,191.97,resale,2026-04-05T22:24:15Z
105,D,1,217.49,resale,2026-04-05T22:24:15Z
105,D,2,217.49,resale,2026-04-05T22:24:15Z
105,K,11,217.49,resale,2026-04-05T22:24:15Z
105,K,12,217.49,resale,2026-04-05T22:24:15Z
106,A,17,206.55,resale,2026-04-05T22:24:15Z
106,A,18,206.55,resale,2026-04-05T22:24:15Z
106,J,9,206.55,resale,2026-04-05T22:24:15Z
106,J,10,206.55,resale,2026-04-05T22:24:15Z
107,F,4,194.7,standard,2026-04-05T22:24:15Z
107,F,1,194.7,standard,2026-04-05T22:24:15Z
107,F,2,194.7,standard,2026-04-05T22:24:15Z
107,F,3,194.7,standard,2026-04-05T22:24:15Z
107,FL2,1,194.7,standard,2026-04-05T22:24:15Z
107,FL2,2,194.7,standard,2026-04-05T22:24:15Z
107,J,9,194.7,standard,2026-04-05T22:24:15Z
107,J,10,194.7,standard,2026-04-05T22:24:15Z
107,J,19,194.7,standard,2026-04-05T22:24:15Z
107,J,20,194.7,standard,2026-04-05T22:24:15Z
107,M,5,194.7,standard,2026-04-05T22:24:15Z
107,M,6,194.7,standard,2026-04-05T22:24:15Z
107,M,11,194.7,standard,2026-04-05T22:24:15Z
107,M,12,194.7,standard,2026-04-05T22:24:15Z
107,S,11,194.7,standard,2026-04-05T22:24:15Z
107,S,12,194.7,standard,2026-04-05T22:24:15Z
107,S,13,194.7,standard,2026-04-05T22:24:15Z
107,S,14,194.7,standard,2026-04-05T22:24:15Z
108,G,8,103.28,resale,2026-04-05T22:24:15Z
108,G,9,103.28,resale,2026-04-05T22:24:15Z
108,K,9,103.28,resale,2026-04-05T22:24:15Z
108,K,10,103.28,resale,2026-04-05T22:24:15Z
108,R,4,103.28,resale,2026-04-05T22:24:15Z
108,R,21,103.28,resale,2026-04-05T22:24:15Z
108,R,22,103.28,resale,2026-04-05T22:24:15Z
108,R,3,103.28,resale,2026-04-05T22:24:15Z
109,KK,2,126.36,resale,2026-04-05T22:24:15Z
109,KK,3,126.36,resale,2026-04-05T22:24:15Z
109,NN,7,126.36,resale,2026-04-05T22:24:15Z
109,NN,8,126.36,resale,2026-04-05T22:24:15Z
109,RR,8,126.36,resale,2026-04-05T22:24:15Z
109,RR,9,126.36,resale,2026-04-05T22:24:15Z
111,PP,1,185.9,resale,2026-04-05T22:24:15Z
111,PP,2,185.9,resale,2026-04-05T22:24:15Z
112,J,8,92.34,resale,2026-04-05T22:24:15Z
112,J,9,92.34,resale,2026-04-05T22:24:15Z
112,MM,10,92.34,resale,2026-04-05T22:24:15Z
112,MM,11,92.34,resale,2026-04-05T22:24:15Z
112,MM,3,92.34,resale,2026-04-05T22:24:15Z
112,MM,4,92.34,resale,2026-04-05T22:24:15Z
112,N,12,92.34,resale,2026-04-05T22:24:15Z
112,N,13,92.34,resale,2026-04-05T22:24:15Z
112,NN,8,92.34,resale,2026-04-05T22:24:15Z
112,NN,9,92.34,resale,2026-04-05T22:24:15Z
112,P,13,92.34,resale,2026-04-05T22:24:15Z
112,P,14,92.34,resale,2026-04-05T22:24:15Z
112,SS,5,92.34,resale,2026-04-05T22:24:15Z
112,SS,6,92.34,resale,2026-04-05T22:24:15Z
113,C,1,97.2,resale,2026-04-05T22:24:15Z
113,C,2,97.2,resale,2026-04-05T22:24:15Z
113,D,5,97.2,resale,2026-04-05T22:24:15Z
113,D,6,97.2,resale,2026-04-05T22:24:15Z
113,K,9,97.2,resale,2026-04-05T22:24:15Z
113,K,10,97.2,resale,2026-04-05T22:24:15Z
113,K,11,97.2,resale,2026-04-05T22:24:15Z
113,K,12,97.2,resale,2026-04-05T22:24:15Z
113,M,1,97.2,resale,2026-04-05T22:24:15Z
