section,row,seat,price_usd,selection_type,scraped_at
101,KK,7,151.88,resale,2026-04-23T01:03:25Z
101,KK,8,151.88,resale,2026-04-23T01:03:25Z
101,M,9,151.88,resale,2026-04-23T01:03:25Z
101,M,10,151.88,resale,2026-04-23T01:03:25Z
102,DD,1,194.4,resale,2026-04-23T01:03:25Z
102,DD,2,194.4,resale,2026-04-23T01:03:25Z
102,DD,3,194.4,resale,2026-04-23T01:03:25Z
102,DD,4,194.4,resale,2026-04-23T01:03:25Z
102,U,1,194.4,resale,2026-04-23T01:03:25Z
102,U,2,194.4,resale,2026-04-23T01:03:25Z
105,E,4,455.63,resale,2026-04-23T01:03:25Z
105,E,3,455.63,resale,2026-04-23T01:03:25Z
106,D,1,317.2,standard,2026-04-23T01:03:25Z
106,D,2,317.2,standard,2026-04-23T01:03:25Z
106,FL3,13,317.2,standard,2026-04-23T01:03:25Z
106,FL3,14,317.2,standard,2026-04-23T01:03:25Z
106,G,9,317.2,standard,2026-04-23T01:03:25Z
106,G,10,317.2,standard,2026-04-23T01:03:25Z
107,B,11,250.2,standard,2026-04-23T01:03:25Z
107,B,12,250.2,standard,2026-04-23T01:03:25Z
107,B,13,250.2,standard,2026-04-23T01:03:25Z
107,B,14,250.2,standard,2026-04-23T01:03:25Z
107,M,9,250.2,standard,2026-04-23T01:03:25Z
107,M,10,250.2,standard,2026-04-23T01:03:25Z
107,Q,4,250.2,standard,2026-04-23T01:03:25Z
107,Q,3,250.2,standard,2026-04-23T01:03:25Z
109,HH,3,179.82,resale,2026-04-23T01:03:25Z
109,HH,4,179.82,resale,2026-04-23T01:03:25Z
109,M,9,179.82,resale,2026-04-23T01:03:25Z
109,M,10,179.82,resale,2026-04-23T01:03:25Z
109,QQ,10,179.82,resale,2026-04-23T01:03:25Z
109,QQ,11,179.82,resale,2026-04-23T01:03:25Z
110,HH,3,170.1,resale,2026-04-23T01:03:25Z
110,HH,4,170.1,resale,2026-04-23T01:03:25Z
110,Q,14,170.1,resale,2026-04-23T01:03:25Z
110,Q,15,170.1,resale,2026-04-23T01:03:25Z
111,RR,6,161.7,standard,2026-04-23T01:03:25Z
111,RR,7,161.7,standard,2026-04-23T01:03:25Z
112,DD,3,212.63,resale,2026-04-23T01:03:25Z
112,DD,4,212.63,resale,2026-04-23T01:03:25Z
112,M,14,212.63,resale,2026-04-23T01:03:25Z
112,M,15,212.63,resale,2026-04-23T01:03:25Z
112,P,7,212.63,resale,2026-04-23T01:03:25Z
112,P,8,212.63,resale,2026-04-23T01:03:25Z
113,J,4,360.86,resale,2026-04-23T01:03:25Z
113,J,1,360.86,resale,2026-04-23T01:03:25Z
113,J,2,360.86,resale,2026-04-23T01:03:25Z
113,J,3,360.86,resale,2026-04-23T01:03:25Z
114,A,13,250.2,standard,2026-04-23T01:03:25Z
114,A,14,250.2,standard,2026-04-23T01:03:25Z
114,A,15,250.2,standard,2026-04-23T01:03:25Z
114,A,16,250.2,standard,2026-04-23T01:03:25Z
114,B,13,250.2,standard,2026-04-23T01:03:25Z
114,B,14,250.2,standard,2026-04-23T01:03:25Z
114,B,15,250.2,standard,2026-04-23T01:03:25Z
114,B,16,250.2,standard,2026-04-23T01:03:25Z
114,B,17,250.2,standard,2026-04-23T01:03:25Z
114,B,18,250.2,standard,2026-04-23T01:03:25Z
114,D,9,250.2,standard,2026-04-23T01:03:25Z
114,D,10,250.2,standard,2026-04-23T01:03:25Z
114,FL4,10,250.2,standard,2026-04-23T01:03:25Z
114,FL4,7,250.2,standard,2026-04-23T01:03:25Z
114,FL4,8,250.2,standard,2026-04-23T01:03:25Z
114,FL4,9,250.2,standard,2026-04-23T01:03:25Z
114,L,12,250.2,standard,2026-04-23T01:03:25Z
114,L,13,250.2,standard,2026-04-23T01:03:25Z
115,B,15,273.38,resale,2026-04-23T01:03:25Z
115,B,16,273.38,resale,2026-04-23T01:03:25Z
115,G,1,273.38,resale,2026-04-23T01:03:25Z
115,G,2,273.38,resale,2026-04-23T01:03:25Z
115,K,5,273.38,resale,2026-04-23T01:03:25Z
115,K,6,273.38,resale,2026-04-23T01:03:25Z
115,K,7,273.38,resale,2026-04-23T01:03:25Z
115,K,8,273.38,resale,2026-04-23T01:03:25Z
116,E,13,317.2,standard,2026-04-23T01:03:25Z
116,E,14,317.2,standard,2026-04-23T01:03:25Z
117,D,9,303.75,resale,2026-04-23T01:03:25Z
117,D,10,303.75,resale,2026-04-23T01:03:25Z
118,N,11,255.15,resale,2026-04-23T01:03:25Z
118,N,12,255.15,resale,2026-04-23T01:03:25Z
119,SS,3,193.19,resale,2026-04-23T01:03:25Z
119,SS,4,193.19,resale,2026-04-23T01:03:25Z
120,LL,5,194.4,resale,2026-04-23T01:03:25Z
120,LL,6,194.4,resale,2026-04-23T01:03:25Z
120,R,2,194.4,resale,2026-04-23T01:03:25Z
120,R,3,194.4,resale,2026-04-23T01:03:25Z
205,A,6,188.33,resale,2026-04-23T01:03:25Z
205,A,7,188.33,resale,2026-04-23T01:03:25Z
205,C,11,188.33,resale,2026-04-23T01:03:25Z
205,C,12,188.33,resale,2026-04-23T01:03:25Z
205,C,13,188.33,resale,2026-04-23T01:03:25Z
205,C,14,188.33,resale,2026-04-23T01:03:25Z
205,D,11,188.33,resale,2026-04-23T01:03:25Z
