section,row,seat,price_usd,selection_type,scraped_at
106,E,17,3037.5,resale,2026-05-31T00:52:20Z
106,E,18,3037.5,resale,2026-05-31T00:52:20Z
107,S,13,850.2,standard,2026-05-31T00:52:20Z
107,S,14,850.2,standard,2026-05-31T00:52:20Z
116,Q,9,900.32,resale,2026-05-31T00:52:20Z
116,Q,10,900.32,resale,2026-05-31T00:52:20Z
117,M,4,1701.0,resale,2026-05-31T00:52:20Z
117,M,3,1701.0,resale,2026-05-31T00:52:20Z
206,E,5,1215.0,resale,2026-05-31T00:52:20Z
206,E,6,1215.0,resale,2026-05-31T00:52:20Z
207,E,13,1215.0,resale,2026-05-31T00:52:20Z
207,E,14,1215.0,resale,2026-05-31T00:52:20Z
309,N,11,607.5,resale,2026-05-31T00:52:20Z
309,N,12,607.5,resale,2026-05-31T00:52:20Z
313,L,4,,,2026-05-31T00:52:20Z
313,L,3,,,2026-05-31T00:52:20Z
317,K,19,425.25,resale,2026-05-31T00:52:20Z
317,K,20,425.25,resale,2026-05-31T00:52:20Z
317,K,21,425.25,resale,2026-05-31T00:52:20Z
317,K,22,425.25,resale,2026-05-31T00:52:20Z
318,K,1,455.63,resale,2026-05-31T00:52:20Z
318,K,2,455.63,resale,2026-05-31T00:52:20Z
319,P,6,,,2026-05-31T00:52:20Z
319,P,7,,,2026-05-31T00:52:20Z
LT230,E,3,607.5,resale,2026-05-31T00:52:20Z
LT230,E,4,607.5,resale,2026-05-31T00:52:20Z
