section,row,seat,price_usd,selection_type,scraped_at
106,E,17,3037.5,resale,2026-05-30T23:00:53Z
106,E,18,3037.5,resale,2026-05-30T23:00:53Z
107,S,13,911.25,resale,2026-05-30T23:00:53Z
107,S,14,911.25,resale,2026-05-30T23:00:53Z
116,Q,9,1543.05,resale,2026-05-30T23:00:53Z
116,Q,10,1543.05,resale,2026-05-30T23:00:53Z
117,M,3,1504.17,resale,2026-05-30T23:00:53Z
117,M,4,1504.17,resale,2026-05-30T23:00:53Z
206,E,5,1215.0,resale,2026-05-30T23:00:53Z
206,E,6,1215.0,resale,2026-05-30T23:00:53Z
207,E,13,1215.0,resale,2026-05-30T23:00:53Z
207,E,14,1215.0,resale,2026-05-30T23:00:53Z
309,N,11,607.5,resale,2026-05-30T23:00:53Z
309,N,12,607.5,resale,2026-05-30T23:00:53Z
313,L,3,303.75,resale,2026-05-30T23:00:53Z
313,L,4,303.75,resale,2026-05-30T23:00:53Z
317,K,19,419.18,resale,2026-05-30T23:00:53Z
317,K,20,419.18,resale,2026-05-30T23:00:53Z
317,K,21,419.18,resale,2026-05-30T23:00:53Z
317,K,22,419.18,resale,2026-05-30T23:00:53Z
318,K,1,419.18,resale,2026-05-30T23:00:53Z
318,K,2,419.18,resale,2026-05-30T23:00:53Z
LT230,E,3,1063.13,resale,2026-05-30T23:00:53Z
LT230,E,4,1063.13,resale,2026-05-30T23:00:53Z
