section,row,seat,price_usd,selection_type,scraped_at
130,C,3,642.51,resale,2026-04-24T00:31:12Z
130,C,4,642.51,resale,2026-04-24T00:31:12Z
130,F,9,642.51,resale,2026-04-24T00:31:12Z
130,F,10,642.51,resale,2026-04-24T00:31:12Z
132,F,9,655.82,resale,2026-04-24T00:31:12Z
132,F,10,655.82,resale,2026-04-24T00:31:12Z
132,F,5,655.82,resale,2026-04-24T00:31:12Z
132,F,6,655.82,resale,2026-04-24T00:31:12Z
131,W,1,418.66,resale,2026-04-24T00:31:12Z
131,W,2,418.66,resale,2026-04-24T00:31:12Z
131,C,9,418.66,resale,2026-04-24T00:31:12Z
131,C,10,418.66,resale,2026-04-24T00:31:12Z
131,C,11,418.66,resale,2026-04-24T00:31:12Z
131,C,12,418.66,resale,2026-04-24T00:31:12Z
131,G,7,418.66,resale,2026-04-24T00:31:12Z
131,G,8,418.66,resale,2026-04-24T00:31:12Z
124,8,1,245.63,resale,2026-04-24T00:31:12Z
124,8,2,245.63,resale,2026-04-24T00:31:12Z
124,M,5,245.63,resale,2026-04-24T00:31:12Z
124,M,6,245.63,resale,2026-04-24T00:31:12Z
124,M,7,245.63,resale,2026-04-24T00:31:12Z
124,M,8,245.63,resale,2026-04-24T00:31:12Z
120,5,6,308.55,resale,2026-04-24T00:31:12Z
120,5,7,308.55,resale,2026-04-24T00:31:12Z
120,2,3,308.55,resale,2026-04-24T00:31:12Z
120,2,4,308.55,resale,2026-04-24T00:31:12Z
122,5,1,424.71,resale,2026-04-24T00:31:12Z
122,5,2,424.71,resale,2026-04-24T00:31:12Z
122,5,7,424.71,resale,2026-04-24T00:31:12Z
122,5,8,424.71,resale,2026-04-24T00:31:12Z
122,4,1,424.71,resale,2026-04-24T00:31:12Z
122,4,2,424.71,resale,2026-04-24T00:31:12Z
201,L,10,214.17,resale,2026-04-24T00:31:12Z
201,L,11,214.17,resale,2026-04-24T00:31:12Z
104,R,20,304.92,resale,2026-04-24T00:31:12Z
104,R,21,304.92,resale,2026-04-24T00:31:12Z
104,R,22,304.92,resale,2026-04-24T00:31:12Z
104,R,23,304.92,resale,2026-04-24T00:31:12Z
104,3,3,304.92,resale,2026-04-24T00:31:12Z
104,3,4,304.92,resale,2026-04-24T00:31:12Z
223,K,6,244.42,resale,2026-04-24T00:31:12Z
223,K,7,244.42,resale,2026-04-24T00:31:12Z
223,K,8,244.42,resale,2026-04-24T00:31:12Z
223,K,9,244.42,resale,2026-04-24T00:31:12Z
COURTSIDE 05,B,29,1680.69,resale,2026-04-24T00:31:12Z
COURTSIDE 05,B,30,1680.69,resale,2026-04-24T00:31:12Z
COURTSIDE 03,B,1,1600.83,resale,2026-04-24T00:31:12Z
COURTSIDE 03,B,2,1600.83,resale,2026-04-24T00:31:12Z
230,Q,3,244.42,resale,2026-04-24T00:31:12Z
230,Q,4,244.42,resale,2026-04-24T00:31:12Z
113,1,27,488.84,resale,2026-04-24T00:31:12Z
113,1,28,488.84,resale,2026-04-24T00:31:12Z
138,T,3,240.79,resale,2026-04-24T00:31:12Z
138,T,4,240.79,resale,2026-04-24T00:31:12Z
138,N,20,240.79,resale,2026-04-24T00:31:12Z
138,N,21,240.79,resale,2026-04-24T00:31:12Z
232,R,7,304.92,resale,2026-04-24T00:31:12Z
232,R,8,304.92,resale,2026-04-24T00:31:12Z
232,R,9,304.92,resale,2026-04-24T00:31:12Z
232,R,10,304.92,resale,2026-04-24T00:31:12Z
110,E,1,706.64,resale,2026-04-24T00:31:12Z
110,E,2,706.64,resale,2026-04-24T00:31:12Z
110,E,3,706.64,resale,2026-04-24T00:31:12Z
110,E,4,706.64,resale,2026-04-24T00:31:12Z
110,D,11,706.64,resale,2026-04-24T00:31:12Z
110,D,12,706.64,resale,2026-04-24T00:31:12Z
111,B,8,767.14,resale,2026-04-24T00:31:12Z
111,B,9,767.14,resale,2026-04-24T00:31:12Z
111,D,11,767.14,resale,2026-04-24T00:31:12Z
111,D,12,767.14,resale,2026-04-24T00:31:12Z
112,F,5,786.5,resale,2026-04-24T00:31:12Z
112,F,6,786.5,resale,2026-04-24T00:31:12Z
