section,row,seat,price_usd,selection_type,scraped_at
10,A2,4,352.82,resale,2026-04-06T01:00:04Z
10,A2,1,352.82,resale,2026-04-06T01:00:04Z
10,A2,2,352.82,resale,2026-04-06T01:00:04Z
10,A2,3,352.82,resale,2026-04-06T01:00:04Z
10,A4,10,352.82,resale,2026-04-06T01:00:04Z
10,A4,11,352.82,resale,2026-04-06T01:00:04Z
10,A5,9,352.82,resale,2026-04-06T01:00:04Z
10,A5,10,352.82,resale,2026-04-06T01:00:04Z
101,10,5,211.22,resale,2026-04-06T01:00:04Z
101,10,6,211.22,resale,2026-04-06T01:00:04Z
101,13,7,211.22,resale,2026-04-06T01:00:04Z
101,13,8,211.22,resale,2026-04-06T01:00:04Z
101,14,16,211.22,resale,2026-04-06T01:00:04Z
101,14,17,211.22,resale,2026-04-06T01:00:04Z
101,15,3,211.22,resale,2026-04-06T01:00:04Z
101,15,4,211.22,resale,2026-04-06T01:00:04Z
101,4,6,211.22,resale,2026-04-06T01:00:04Z
101,4,7,211.22,resale,2026-04-06T01:00:04Z
101,6,4,211.22,resale,2026-04-06T01:00:04Z
101,6,3,211.22,resale,2026-04-06T01:00:04Z
101,9,10,211.22,resale,2026-04-06T01:00:04Z
101,9,11,211.22,resale,2026-04-06T01:00:04Z
102,12,16,236.0,resale,2026-04-06T01:00:04Z
102,12,17,236.0,resale,2026-04-06T01:00:04Z
102,16,14,236.0,resale,2026-04-06T01:00:04Z
102,16,15,236.0,resale,2026-04-06T01:00:04Z
102,3,1,236.0,resale,2026-04-06T01:00:04Z
102,3,2,236.0,resale,2026-04-06T01:00:04Z
102,5,5,236.0,resale,2026-04-06T01:00:04Z
102,5,6,236.0,resale,2026-04-06T01:00:04Z
103,10,10,259.6,resale,2026-04-06T01:00:04Z
103,10,9,259.6,resale,2026-04-06T01:00:04Z
103,11,15,259.6,resale,2026-04-06T01:00:04Z
103,11,16,259.6,resale,2026-04-06T01:00:04Z
103,11,2,259.6,resale,2026-04-06T01:00:04Z
103,12,5,259.6,resale,2026-04-06T01:00:04Z
103,12,6,259.6,resale,2026-04-06T01:00:04Z
103,13,8,259.6,resale,2026-04-06T01:00:04Z
103,13,9,259.6,resale,2026-04-06T01:00:04Z
