section,row,seat,price_usd,selection_type,scraped_at
101,DD,3,,,2026-07-13T23:55:13Z
101,DD,4,,,2026-07-13T23:55:13Z
102,H,11,,,2026-07-13T23:55:13Z
102,H,12,,,2026-07-13T23:55:13Z
102,H,13,,,2026-07-13T23:55:13Z
102,H,14,,,2026-07-13T23:55:13Z
102,K,5,,,2026-07-13T23:55:13Z
102,K,6,,,2026-07-13T23:55:13Z
103,F,10,,,2026-07-13T23:55:13Z
103,F,11,,,2026-07-13T23:55:13Z
103,J,1,,,2026-07-13T23:55:13Z
103,J,2,,,2026-07-13T23:55:13Z
104,A,1,,,2026-07-13T23:55:13Z
104,A,2,,,2026-07-13T23:55:13Z
104,CC,11,,,2026-07-13T23:55:13Z
104,CC,12,,,2026-07-13T23:55:13Z
104,D,2,,,2026-07-13T23:55:13Z
104,D,3,,,2026-07-13T23:55:13Z
104,EE,1,,,2026-07-13T23:55:13Z
104,EE,2,,,2026-07-13T23:55:13Z
104,EE,3,,,2026-07-13T23:55:13Z
104,EE,4,,,2026-07-13T23:55:13Z
109,C,1,,,2026-07-13T23:55:13Z
109,C,2,,,2026-07-13T23:55:13Z
110,A,5,,,2026-07-13T23:55:13Z
110,A,6,,,2026-07-13T23:55:13Z
111,CC,3,,,2026-07-13T23:55:13Z
111,CC,4,,,2026-07-13T23:55:13Z
111,DD,14,,,2026-07-13T23:55:13Z
111,DD,15,,,2026-07-13T23:55:13Z
111,J,1,,,2026-07-13T23:55:13Z
111,J,2,,,2026-07-13T23:55:13Z
112,B,13,,,2026-07-13T23:55:13Z
112,B,14,,,2026-07-13T23:55:13Z
112,CC,2,,,2026-07-13T23:55:13Z
112,CC,3,,,2026-07-13T23:55:13Z
112,EE,10,,,2026-07-13T23:55:13Z
112,EE,9,,,2026-07-13T23:55:13Z
112,H,1,,,2026-07-13T23:55:13Z
112,H,2,,,2026-07-13T23:55:13Z
113,B,5,,,2026-07-13T23:55:13Z
113,B,6,,,2026-07-13T23:55:13Z
113,C,8,,,2026-07-13T23:55:13Z
113,C,9,,,2026-07-13T23:55:13Z
113,C,10,,,2026-07-13T23:55:13Z
113,C,11,,,2026-07-13T23:55:13Z
113,CC,13,,,2026-07-13T23:55:13Z
113,CC,14,,,2026-07-13T23:55:13Z
116,CC,5,,,2026-07-13T23:55:13Z
116,CC,6,,,2026-07-13T23:55:13Z
