section,row,seat,price_usd,selection_type,scraped_at
SUITE B 4,SEAT,7,,,2026-07-11T01:08:04Z
SUITE B 4,SEAT,10,,,2026-07-11T01:08:04Z
SUITE B 4,SEAT,11,,,2026-07-11T01:08:04Z
SUITE B 4,SEAT,12,,,2026-07-11T01:08:04Z
SUITE B 4,SEAT,8,,,2026-07-11T01:08:04Z
SUITE B 4,SEAT,9,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,1,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,2,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,3,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,4,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,5,,,2026-07-11T01:08:04Z
SUITE B 4,BSTL,6,,,2026-07-11T01:08:04Z
PREMIER 8,8,5,,,2026-07-11T01:08:04Z
PREMIER 8,8,6,,,2026-07-11T01:08:04Z
PREMIER 8,9,5,,,2026-07-11T01:08:04Z
PREMIER 8,9,6,,,2026-07-11T01:08:04Z
PREMIER 8,9,7,,,2026-07-11T01:08:04Z
PREMIER 8,9,8,,,2026-07-11T01:08:04Z
PREMIER 8,9,9,,,2026-07-11T01:08:04Z
PREMIER 8,9,10,,,2026-07-11T01:08:04Z
PREMIER 8,12,9,,,2026-07-11T01:08:04Z
PREMIER 8,12,10,,,2026-07-11T01:08:04Z
SUITE C 40,SEAT,7,,,2026-07-11T01:08:04Z
SUITE C 40,SEAT,8,,,2026-07-11T01:08:04Z
SUITE C 40,SEAT,9,,,2026-07-11T01:08:04Z
SUITE C 40,SEAT,10,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,1,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,2,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,3,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,4,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,5,,,2026-07-11T01:08:04Z
SUITE C 40,BSTL,6,,,2026-07-11T01:08:04Z
SUITE B 62,SEAT,7,,,2026-07-11T01:08:04Z
SUITE B 62,SEAT,8,,,2026-07-11T01:08:04Z
SUITE B 62,BSTL,7,,,2026-07-11T01:08:04Z
SUITE B 62,BSTL,8,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,7,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,8,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,9,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,10,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,11,,,2026-07-11T01:08:04Z
SUITE B 59,SEAT,12,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,1,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,2,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,3,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,4,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,5,,,2026-07-11T01:08:04Z
SUITE B 59,BSTL,6,,,2026-07-11T01:08:04Z
SUITE C 28,SEAT,7,,,2026-07-11T01:08:04Z
SUITE C 28,SEAT,8,,,2026-07-11T01:08:04Z
PREMIER 11,8,9,,,2026-07-11T01:08:04Z
PREMIER 11,8,10,,,2026-07-11T01:08:04Z
PREMIER 11,11,7,,,2026-07-11T01:08:04Z
PREMIER 11,11,8,,,2026-07-11T01:08:04Z
SUITE C 44,SEAT,7,,,2026-07-11T01:08:04Z
SUITE C 44,SEAT,8,,,2026-07-11T01:08:04Z
SUITE C 44,SEAT,9,,,2026-07-11T01:08:04Z
SUITE C 44,SEAT,10,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,7,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,8,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,9,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,10,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,11,,,2026-07-11T01:08:04Z
SUITE C 42,SEAT,12,,,2026-07-11T01:08:04Z
SUITE C 42,BSTL,5,,,2026-07-11T01:08:04Z
SUITE C 42,BSTL,6,,,2026-07-11T01:08:04Z
SUITE A 53,SEAT,6,,,2026-07-11T01:08:04Z
SUITE A 53,SEAT,7,,,2026-07-11T01:08:04Z
SUITE A 53,BSTL,1,,,2026-07-11T01:08:04Z
SUITE A 53,BSTL,2,,,2026-07-11T01:08:04Z
SUITE A 53,BSTL,3,,,2026-07-11T01:08:04Z
SUITE A 53,BSTL,4,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,7,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,8,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,9,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,10,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,11,,,2026-07-11T01:08:04Z
SUITE B 61,SEAT,12,,,2026-07-11T01:08:04Z
SUITE B 61,BSTL,7,,,2026-07-11T01:08:04Z
SUITE B 61,BSTL,8,,,2026-07-11T01:08:04Z
SUITE C 2,SEAT,7,,,2026-07-11T01:08:04Z
SUITE C 2,SEAT,8,,,2026-07-11T01:08:04Z
SUITE C 2,BSTL,5,,,2026-07-11T01:08:04Z
SUITE C 2,BSTL,6,,,2026-07-11T01:08:04Z
SUITE C 30,SEAT,11,,,2026-07-11T01:08:04Z
SUITE C 30,SEAT,12,,,2026-07-11T01:08:04Z
