section,row,seat,price_usd,selection_type,scraped_at
01,BB,17,,,2026-07-21T01:06:49Z
01,BB,18,,,2026-07-21T01:06:49Z
01,R,11,,,2026-07-21T01:06:49Z
01,R,12,,,2026-07-21T01:06:49Z
02,R,19,,,2026-07-21T01:06:49Z
02,R,20,,,2026-07-21T01:06:49Z
02FLR,4,3,,,2026-07-21T01:06:49Z
02FLR,4,4,,,2026-07-21T01:06:49Z
07,GG,6,,,2026-07-21T01:06:49Z
07,GG,7,,,2026-07-21T01:06:49Z
07,D,1,,,2026-07-21T01:06:49Z
07,D,2,,,2026-07-21T01:06:49Z
07FLR,2,10,,,2026-07-21T01:06:49Z
07FLR,2,5,,,2026-07-21T01:06:49Z
07FLR,2,6,,,2026-07-21T01:06:49Z
07FLR,2,7,,,2026-07-21T01:06:49Z
07FLR,2,8,,,2026-07-21T01:06:49Z
07FLR,2,9,,,2026-07-21T01:06:49Z
08,GG,5,,,2026-07-21T01:06:49Z
08,GG,6,,,2026-07-21T01:06:49Z
115,C,5,,,2026-07-21T01:06:49Z
115,C,6,,,2026-07-21T01:06:49Z
13,T,7,,,2026-07-21T01:06:49Z
13,T,10,,,2026-07-21T01:06:49Z
13,T,11,,,2026-07-21T01:06:49Z
13,T,2,,,2026-07-21T01:06:49Z
13,T,3,,,2026-07-21T01:06:49Z
13,T,4,,,2026-07-21T01:06:49Z
13,T,5,,,2026-07-21T01:06:49Z
13,T,6,,,2026-07-21T01:06:49Z
13,T,8,,,2026-07-21T01:06:49Z
13,T,9,,,2026-07-21T01:06:49Z
13FLR,4,14,,,2026-07-21T01:06:49Z
13FLR,4,15,,,2026-07-21T01:06:49Z
13FLR,4,16,,,2026-07-21T01:06:49Z
13FLR,4,17,,,2026-07-21T01:06:49Z
14,C,10,,,2026-07-21T01:06:49Z
14,C,11,,,2026-07-21T01:06:49Z
14,K,14,,,2026-07-21T01:06:49Z
14,K,15,,,2026-07-21T01:06:49Z
14,R,14,,,2026-07-21T01:06:49Z
14,R,13,,,2026-07-21T01:06:49Z
14FLR,3,7,,,2026-07-21T01:06:49Z
14FLR,3,8,,,2026-07-21T01:06:49Z
15,G,17,,,2026-07-21T01:06:49Z
15,G,18,,,2026-07-21T01:06:49Z
19,F,7,,,2026-07-21T01:06:49Z
19,F,10,,,2026-07-21T01:06:49Z
19,F,8,,,2026-07-21T01:06:49Z
19,F,9,,,2026-07-21T01:06:49Z
20FLR,3,10,,,2026-07-21T01:06:49Z
20FLR,3,11,,,2026-07-21T01:06:49Z
20FLR,3,5,,,2026-07-21T01:06:49Z
20FLR,3,6,,,2026-07-21T01:06:49Z
20FLR,3,7,,,2026-07-21T01:06:49Z
20FLR,3,8,,,2026-07-21T01:06:49Z
20FLR,3,9,,,2026-07-21T01:06:49Z
22,F,3,,,2026-07-21T01:06:49Z
22,F,4,,,2026-07-21T01:06:49Z
26,C,20,,,2026-07-21T01:06:49Z
26,C,21,,,2026-07-21T01:06:49Z
26,P,21,,,2026-07-21T01:06:49Z
26,P,22,,,2026-07-21T01:06:49Z
