section,row,seat,price_usd,selection_type,scraped_at
01,X,15,,,2026-07-29T01:04:51Z
01,X,16,,,2026-07-29T01:04:51Z
02,S,21,,,2026-07-29T01:04:51Z
02,S,22,,,2026-07-29T01:04:51Z
02FLR,4,15,,,2026-07-29T01:04:51Z
02FLR,4,16,,,2026-07-29T01:04:51Z
07FLR,2,10,,,2026-07-29T01:04:51Z
07FLR,2,11,,,2026-07-29T01:04:51Z
07FLR,2,12,,,2026-07-29T01:04:51Z
07FLR,2,8,,,2026-07-29T01:04:51Z
07FLR,2,9,,,2026-07-29T01:04:51Z
102,C,20,,,2026-07-29T01:04:51Z
102,C,21,,,2026-07-29T01:04:51Z
13,F,3,,,2026-07-29T01:04:51Z
13,F,4,,,2026-07-29T01:04:51Z
13,H,20,,,2026-07-29T01:04:51Z
13,H,21,,,2026-07-29T01:04:51Z
13,H,5,,,2026-07-29T01:04:51Z
13,H,6,,,2026-07-29T01:04:51Z
14,A,12,,,2026-07-29T01:04:51Z
14,A,13,,,2026-07-29T01:04:51Z
14,AA,16,,,2026-07-29T01:04:51Z
14,AA,17,,,2026-07-29T01:04:51Z
14,AA,18,,,2026-07-29T01:04:51Z
14,AA,19,,,2026-07-29T01:04:51Z
14,B,19,,,2026-07-29T01:04:51Z
14,B,20,,,2026-07-29T01:04:51Z
14,C,10,,,2026-07-29T01:04:51Z
14,C,11,,,2026-07-29T01:04:51Z
14,N,15,,,2026-07-29T01:04:51Z
14,N,16,,,2026-07-29T01:04:51Z
14,R,17,,,2026-07-29T01:04:51Z
14,R,18,,,2026-07-29T01:04:51Z
14FLR,3,7,,,2026-07-29T01:04:51Z
14FLR,3,8,,,2026-07-29T01:04:51Z
15,N,3,,,2026-07-29T01:04:51Z
15,N,4,,,2026-07-29T01:04:51Z
15,Y,7,,,2026-07-29T01:04:51Z
15,Y,5,,,2026-07-29T01:04:51Z
15,Y,6,,,2026-07-29T01:04:51Z
15,Y,8,,,2026-07-29T01:04:51Z
15,Y,9,,,2026-07-29T01:04:51Z
15FLR,2,20,,,2026-07-29T01:04:51Z
15FLR,2,21,,,2026-07-29T01:04:51Z
15FLR,3,23,,,2026-07-29T01:04:51Z
15FLR,3,24,,,2026-07-29T01:04:51Z
15FLR,3,25,,,2026-07-29T01:04:51Z
15FLR,3,26,,,2026-07-29T01:04:51Z
15FLR,3,27,,,2026-07-29T01:04:51Z
15FLR,3,28,,,2026-07-29T01:04:51Z
17,H,10,,,2026-07-29T01:04:51Z
17,H,11,,,2026-07-29T01:04:51Z
17,H,8,,,2026-07-29T01:04:51Z
17,H,9,,,2026-07-29T01:04:51Z
20,L,8,,,2026-07-29T01:04:51Z
20,L,9,,,2026-07-29T01:04:51Z
20FLR,3,10,,,2026-07-29T01:04:51Z
20FLR,3,11,,,2026-07-29T01:04:51Z
20FLR,3,12,,,2026-07-29T01:04:51Z
20FLR,3,13,,,2026-07-29T01:04:51Z
20FLR,3,9,,,2026-07-29T01:04:51Z
216,D,5,,,2026-07-29T01:04:51Z
216,D,6,,,2026-07-29T01:04:51Z
