section,row,seat,price_usd,selection_type,scraped_at
101,A,9,,,2026-07-09T00:25:13Z
101,A,10,,,2026-07-09T00:25:13Z
101,A,11,,,2026-07-09T00:25:13Z
101,A,12,,,2026-07-09T00:25:13Z
101,C,12,,,2026-07-09T00:25:13Z
101,C,13,,,2026-07-09T00:25:13Z
101,E,1,,,2026-07-09T00:25:13Z
101,E,2,,,2026-07-09T00:25:13Z
101,F,7,,,2026-07-09T00:25:13Z
101,F,8,,,2026-07-09T00:25:13Z
101,G,12,,,2026-07-09T00:25:13Z
101,G,13,,,2026-07-09T00:25:13Z
101,H,1,,,2026-07-09T00:25:13Z
101,H,2,,,2026-07-09T00:25:13Z
102,B,4,,,2026-07-09T00:25:13Z
102,B,1,,,2026-07-09T00:25:13Z
102,B,2,,,2026-07-09T00:25:13Z
102,B,3,,,2026-07-09T00:25:13Z
102,C,7,,,2026-07-09T00:25:13Z
102,C,8,,,2026-07-09T00:25:13Z
102,F,5,,,2026-07-09T00:25:13Z
102,F,6,,,2026-07-09T00:25:13Z
102,M,4,,,2026-07-09T00:25:13Z
102,M,1,,,2026-07-09T00:25:13Z
102,M,2,,,2026-07-09T00:25:13Z
102,M,3,,,2026-07-09T00:25:13Z
103,E,9,,,2026-07-09T00:25:13Z
103,E,10,,,2026-07-09T00:25:13Z
104,D,4,,,2026-07-09T00:25:13Z
104,D,5,,,2026-07-09T00:25:13Z
104,D,6,,,2026-07-09T00:25:13Z
104,D,3,,,2026-07-09T00:25:13Z
105,G,5,,,2026-07-09T00:25:13Z
105,G,6,,,2026-07-09T00:25:13Z
106,D,14,,,2026-07-09T00:25:13Z
106,D,15,,,2026-07-09T00:25:13Z
106,F,14,,,2026-07-09T00:25:13Z
106,F,15,,,2026-07-09T00:25:13Z
106,K,19,,,2026-07-09T00:25:13Z
106,K,20,,,2026-07-09T00:25:13Z
107,B,1,,,2026-07-09T00:25:13Z
107,B,2,,,2026-07-09T00:25:13Z
107,E,7,,,2026-07-09T00:25:13Z
107,E,8,,,2026-07-09T00:25:13Z
107,J,9,,,2026-07-09T00:25:13Z
107,J,10,,,2026-07-09T00:25:13Z
108,E,4,,,2026-07-09T00:25:13Z
108,E,3,,,2026-07-09T00:25:13Z
108,J,9,,,2026-07-09T00:25:13Z
108,J,1,,,2026-07-09T00:25:13Z
108,J,10,,,2026-07-09T00:25:13Z
108,J,11,,,2026-07-09T00:25:13Z
108,J,12,,,2026-07-09T00:25:13Z
108,J,2,,,2026-07-09T00:25:13Z
108,K,4,,,2026-07-09T00:25:13Z
108,K,1,,,2026-07-09T00:25:13Z
108,K,2,,,2026-07-09T00:25:13Z
108,K,3,,,2026-07-09T00:25:13Z
108,L,20,,,2026-07-09T00:25:13Z
108,L,21,,,2026-07-09T00:25:13Z
109,B,7,,,2026-07-09T00:25:13Z
109,B,8,,,2026-07-09T00:25:13Z
109,F,9,,,2026-07-09T00:25:13Z
109,F,10,,,2026-07-09T00:25:13Z
11,J,3,,,2026-07-09T00:25:13Z
11,J,4,,,2026-07-09T00:25:13Z
11,K,5,,,2026-07-09T00:25:13Z
11,K,6,,,2026-07-09T00:25:13Z
11,N,10,,,2026-07-09T00:25:13Z
11,N,11,,,2026-07-09T00:25:13Z
11,N,12,,,2026-07-09T00:25:13Z
11,N,9,,,2026-07-09T00:25:13Z
11,P,7,,,2026-07-09T00:25:13Z
11,P,8,,,2026-07-09T00:25:13Z
11,R,14,,,2026-07-09T00:25:13Z
11,R,13,,,2026-07-09T00:25:13Z
11,R,3,,,2026-07-09T00:25:13Z
11,R,4,,,2026-07-09T00:25:13Z
11,S,3,,,2026-07-09T00:25:13Z
11,S,4,,,2026-07-09T00:25:13Z
110,E,1,,,2026-07-09T00:25:13Z
110,E,2,,,2026-07-09T00:25:13Z
110,G,17,,,2026-07-09T00:25:13Z
110,G,18,,,2026-07-09T00:25:13Z
111,H,4,,,2026-07-09T00:25:13Z
111,H,5,,,2026-07-09T00:25:13Z
111,M,4,,,2026-07-09T00:25:13Z
111,M,1,,,2026-07-09T00:25:13Z
111,M,2,,,2026-07-09T00:25:13Z
111,M,21,,,2026-07-09T00:25:13Z
111,M,22,,,2026-07-09T00:25:13Z
111,M,23,,,2026-07-09T00:25:13Z
111,M,24,,,2026-07-09T00:25:13Z
111,M,3,,,2026-07-09T00:25:13Z
112,A,9,,,2026-07-09T00:25:13Z
112,A,10,,,2026-07-09T00:25:13Z
112,A,11,,,2026-07-09T00:25:13Z
112,A,12,,,2026-07-09T00:25:13Z
112,B,10,,,2026-07-09T00:25:13Z
112,B,11,,,2026-07-09T00:25:13Z
112,B,12,,,2026-07-09T00:25:13Z
112,B,13,,,2026-07-09T00:25:13Z
112,F,12,,,2026-07-09T00:25:13Z
112,F,13,,,2026-07-09T00:25:13Z
112,F,14,,,2026-07-09T00:25:13Z
112,F,15,,,2026-07-09T00:25:13Z
112,G,5,,,2026-07-09T00:25:13Z
112,G,6,,,2026-07-09T00:25:13Z
112,G,7,,,2026-07-09T00:25:13Z
112,G,8,,,2026-07-09T00:25:13Z
112,H,17,,,2026-07-09T00:25:13Z
112,H,18,,,2026-07-09T00:25:13Z
112,H,19,,,2026-07-09T00:25:13Z
112,H,20,,,2026-07-09T00:25:13Z
112,J,4,,,2026-07-09T00:25:13Z
112,J,1,,,2026-07-09T00:25:13Z
112,J,2,,,2026-07-09T00:25:13Z
112,J,3,,,2026-07-09T00:25:13Z
112,M,4,,,2026-07-09T00:25:13Z
112,M,1,,,2026-07-09T00:25:13Z
112,M,2,,,2026-07-09T00:25:13Z
112,M,3,,,2026-07-09T00:25:13Z
113,C,4,,,2026-07-09T00:25:13Z
113,C,3,,,2026-07-09T00:25:13Z
113,F,7,,,2026-07-09T00:25:13Z
113,F,8,,,2026-07-09T00:25:13Z
113,F,9,,,2026-07-09T00:25:13Z
