offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DCOBQIMYDAMBQGN6DMNA,101,1,55.72,standard,2026-03-28T19:52:21Z
GJ6DC7BWGQ,101,2,83.51,standard,2026-03-28T19:52:21Z
GN6DCMJVGM3TEMRXHEZHYMJXMYYTKZJYMZTDK,101,6,76.05,resale,2026-03-28T19:52:21Z
GN6DCMJTGI3DKMBUGU2XYMJXMYYTKZBZGIZDK,101,2,65.52,resale,2026-03-28T19:52:21Z
GN6DCMJVGQZDKOBTGMYHYMJXMYYTKZDBHAZTK,101,3,65.52,resale,2026-03-28T19:52:21Z
GN6DCMJVGQZDKMZSGQ2HYMJXMYYTKZBYMM2TK,101,2,64.35,resale,2026-03-28T19:52:21Z
GJ6DC7BWGY,101,10,71.85,standard,2026-03-28T19:52:21Z
GJ6DCOBQIMYDAMBQGN6DMNA,102,3,55.72,standard,2026-03-28T19:52:21Z
GN6DCMJVGM3DANBYGU4XYMJXMYYTKZJYMZSTK,102,3,76.05,resale,2026-03-28T19:52:21Z
GJ6DC7BWGQ,102,2,83.51,standard,2026-03-28T19:52:21Z
GN6DCMJVGQZDKOBYGY4XYMJXMYYTIMLFG5QTK,102,2,51.48,resale,2026-03-28T19:52:21Z
GN6DCMJVGM2TMNBUGY3XYMJXMVSWIOBZMNRDK,102,2,87.75,resale,2026-03-28T19:52:21Z
GJ6DCOBQIMYDAMBQGN6DMNQ,102,3,49.08,standard,2026-03-28T19:52:21Z
GN6DCMJVGQZDKOJWHA4XYMJXMYYTIMRRGBSDK,102,2,58.5,resale,2026-03-28T19:52:21Z
GJ6DC7BWGY,102,7,71.85,standard,2026-03-28T19:52:21Z
GN6DCMJVGQYDSOBVGAZHYMJXMYYTEMZUGM3TK,102,2,117.0,resale,2026-03-28T19:52:21Z
GJ6DCOBQIMYDAMBQGN6DMMQ,103,1,62.41,standard,2026-03-28T19:52:21Z
GJ6DC7BWGI,103,12,95.75,standard,2026-03-28T19:52:21Z
