offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVHA,101,18,464.8,standard,2026-03-19T23:17:44Z
GN6DCMJTGY4DINBSGA4XYMJXMFSTQMJTGFTDK,101,2,317.34,resale,2026-03-19T23:17:44Z
GN6DCMJUGUZTQOBZGE4HYMJXMQ2WCYZUMFRTK,101,2,615.0,resale,2026-03-19T23:17:44Z
GJ6DC7BVHE,101,5,352.8,standard,2026-03-19T23:17:44Z
GJ6DQMBYGAYDAMBSPQ2TO,101,2,668.64,standard,2026-03-19T23:17:44Z
GJ6DC7BVG4,101,7,576.8,standard,2026-03-19T23:17:44Z
GN6DCMJUGU2TMNJUGI2XYMJXMQ3DIN3GMFQTK,101,2,319.8,resale,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMMI,102,4,350.56,standard,2026-03-19T23:17:44Z
GJ6DC7BWGE,102,14,341.6,standard,2026-03-19T23:17:44Z
GJ6DC7BWGI,102,9,296.8,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMMQ,102,2,304.64,standard,2026-03-19T23:17:44Z
GJ6DQMBYGAYDAMBSPQ3DA,102,6,479.36,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMMA,102,2,430.08,standard,2026-03-19T23:17:44Z
GJ6DC7BWGA,102,6,420.0,standard,2026-03-19T23:17:44Z
GJ6DQMBYGAYDAMBSPQ2TG,102,4,707.84,standard,2026-03-19T23:17:44Z
GN6DCMBRGMZTENBVGA2XYMJXMQ3TEMLGGRTDK,102,4,436.65,resale,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMMY,103,1,235.2,standard,2026-03-19T23:17:44Z
GN6DCMJUGU3DENBYHE2XYMJXMQ3GMY3CMUZTK,103,2,154.98,resale,2026-03-19T23:17:44Z
GN6DCMJTG44TIMJYG42XYMJXMIZTKODEMQYDK,103,3,202.95,resale,2026-03-19T23:17:44Z
GJ6DC7BWGI,103,1,296.8,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMMQ,103,4,304.64,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNA,104,4,223.44,standard,2026-03-19T23:17:44Z
GJ6DC7BWGM,104,4,229.6,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNQ,105,1,143.17,standard,2026-03-19T23:17:44Z
GN6DCMJUGU3TKNBWGQYXYMJXMQ3TEZRYGJTDK,105,4,113.16,resale,2026-03-19T23:17:44Z
GN6DCMBZG43DKMZTG42HYMJXMQ3GMODDMI4TK,105,2,118.08,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TEOBSHE2HYMJXMQ3TIMLFMMYTK,105,4,86.1,resale,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNI,105,4,257.88,standard,2026-03-19T23:17:44Z
GJ6DC7BWG4,106,1,140.0,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNY,106,3,143.17,standard,2026-03-19T23:17:44Z
GJ6DCNBRGQYDAMBQIN6DMNY,106,6,185.56,standard,2026-03-19T23:17:44Z
GJ6DQMBYGAYDAMBSPQ3DO,106,4,140.0,standard,2026-03-19T23:17:44Z
GN6DCMJUGU3DONRQHA2XYMJXMQ3GEYZUG43DK,106,1,123.0,resale,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNI,106,9,257.88,standard,2026-03-19T23:17:44Z
GJ6DC7BWGU,106,20,252.0,standard,2026-03-19T23:17:44Z
GN6DCMJUGU2TMOBWGMYHYMJXMQ3TINBYG4YDK,107,2,116.85,resale,2026-03-19T23:17:44Z
GN6DCMBQHA4DOMBXGE4HYMJXMNRDAMBUGYZDK,107,2,159.9,resale,2026-03-19T23:17:44Z
GJ6DCNBRGQYDAMBQIN6DKNI,107,1,688.8,standard,2026-03-19T23:17:44Z
GN6DCMJUGUYTONJTGAYXYMJXMQ3TCZJTGVTDK,107,2,232.47,resale,2026-03-19T23:17:44Z
GJ6DC7BWGU,107,1,252.0,standard,2026-03-19T23:17:44Z
GJ6DCMBRGAYDAMBQGN6DMNI,107,4,257.88,standard,2026-03-19T23:17:44Z
GN6DCMJUGU3DSNZUGM3HYMJXMQ3TENTCMY4DK,108,2,104.55,resale,2026-03-19T23:17:44Z
GN6DCMJUGUZDSMJYHAYXYMJXMQ3DIN3BMU2TK,108,2,183.27,resale,2026-03-19T23:17:44Z
GJ6DC7BWGQ,108A,1,218.4,standard,2026-03-19T23:17:44Z
GN6DCMJUGM2DMMRSGY2HYMJXMQ3GMM3DHAZDK,109,3,305.04,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2DGNZWGI2XYMJXMQ3DIN3GMJSDK,109,2,190.65,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TMMBZHEZXYMJXMQ3TGZDEG5TDK,109,2,136.53,resale,2026-03-19T23:17:44Z
GN6DCMJTGYYDCMJYG42XYMJXMQ2WGNRXHFSTK,109,2,239.85,resale,2026-03-19T23:17:44Z
GN6DCMJUGQ3DEOJRG42HYMJXMQZDMYRYGQ4TK,109,2,168.51,resale,2026-03-19T23:17:44Z
GJ6DC7BVGY,109,8,470.4,standard,2026-03-19T23:17:44Z
GJ6DCNBRGQYDAMBQIN6DMMA,110,2,497.5,standard,2026-03-19T23:17:44Z
