offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUHEZDMMRZHEYXYMJXMVSWCNZQMIZTK,BAL301,2,130.9,resale,2026-03-27T22:43:59Z
GN6DCMJVGAYTMNBSGE2XYMJXMVSWCNZVMQYDK,BAL301,4,142.8,resale,2026-03-27T22:43:59Z
GN6DCMJVGMZTEMBTHA3XYMJXMVSWCNZTMM3DK,BAL301,2,175.5,resale,2026-03-27T22:43:59Z
GN6DCMJUHAZTINJZGY4XYMJXMVSWCNZWGZSTK,BAL301,2,183.69,resale,2026-03-27T22:43:59Z
GN6DCMBQHEZDCMJYHE4XYMJXMVSWCNTGMNSTK,BAL301,2,232.83,resale,2026-03-27T22:43:59Z
GN6DCMJTGM4TGOBQHE3HYMJXMVSWCNZTHBSTK,BAL301,2,234.0,resale,2026-03-27T22:43:59Z
GN6DCMJVGMYDKOJUGU3HYMJXMVSWCN3CGIZTK,BAL301,2,234.0,resale,2026-03-27T22:43:59Z
GN6DCMJTGA4TOMBWGYZXYMJXMVSWCNZTHBRTK,BAL301,2,129.71,resale,2026-03-27T22:43:59Z
GN6DCMJVGAYTENJXG4ZXYMJXMVSWEMDFMMZDK,BAL302,2,168.48,resale,2026-03-27T22:43:59Z
GN6DCMJVGEZTCOBUHEZXYMJXMVSWCNTGGJRDK,BAL302,2,157.95,resale,2026-03-27T22:43:59Z
GN6DCMJVGEZTGNBSGQZHYMJXMVSWIZJZHBSTK,BAL302,2,99.96,resale,2026-03-27T22:43:59Z
GN6DCMJVGE3TINBWGEZXYMJXMVSWCNZVMRTDK,BAL302,2,142.8,resale,2026-03-27T22:43:59Z
GN6DCMJUGUYDQNBUGUZXYMJXMVSWCNZUMVSDK,BAL302,2,175.5,resale,2026-03-27T22:43:59Z
GN6DCMJUHA3TQMBQG4ZXYMJXMVSWCNZQMFTDK,BAL302,2,163.8,resale,2026-03-27T22:43:59Z
GN6DCMJVGMZDGNRYHA4HYMJXMVSWIZTBGEZDK,BAL302,2,80.92,resale,2026-03-27T22:43:59Z
GN6DCMJVGA2TQMBRGAZXYMJXMVSWCNTGMY3DK,BAL302,2,162.63,resale,2026-03-27T22:43:59Z
GN6DCMJRHAZDANJTGUYXYMJXMVSWIZBTMVSTK,BAL303,3,193.05,resale,2026-03-27T22:43:59Z
GN6DCMJVGMYDCMBZHE3HYMJXMVSWCOBRGJSDK,BAL303,2,141.61,resale,2026-03-27T22:43:59Z
GN6DCMJVGIZTMMZVG44XYMJXMVSWCNZTMI2DK,BAL303,2,147.56,resale,2026-03-27T22:43:59Z
GN6DCMJVGMYDGOBTHAZHYMJXMVSWGZTFGVSDK,BAL303,2,101.15,resale,2026-03-27T22:43:59Z
GN6DCMJUGY3TGOBVHEYHYMJXMVSWKMRVMU2TK,BAL303,2,74.97,resale,2026-03-27T22:43:59Z
GN6DCMBWG4YTOMZVGM2HYMJXMVSWIZRTMNSTK,BAL303,4,101.15,resale,2026-03-27T22:43:59Z
GN6DCMJVGI4TQMJZGMYXYMJXMVSWCN3EGVSDK,BAL304,2,113.05,resale,2026-03-27T22:43:59Z
GN6DCMJVGM2DSNZQGEYHYMJXMVSWGZDBGBQTK,BAL304,2,78.54,resale,2026-03-27T22:43:59Z
GN6DCMJVGM2DMMBXHE2HYMJXMVSWCOBRGRSDK,BAL304,2,95.2,resale,2026-03-27T22:43:59Z
GN6DCMJVGI3TGMBWHEYXYMJXMVSWCZBSMQ4DK,BAL305,2,101.15,resale,2026-03-27T22:43:59Z
GN6DCMJVGM2TCNJQGM3HYMJXMVSWIYRZGMYDK,BAL305,2,94.01,resale,2026-03-27T22:43:59Z
GN6DCMJVGAZDKMRZGAYXYMJXMVSWGNLDHFRTK,BAL305,2,103.53,resale,2026-03-27T22:43:59Z
GN6DCMJVGAZDOMRUHAYXYMJXMVSWGMZZGEYTK,BAL305,2,107.1,resale,2026-03-27T22:43:59Z
GN6DCMJVGIYTAOJSGM3XYMJXMVSWCNZWHA3DK,BAL305,1,163.8,resale,2026-03-27T22:43:59Z
GN6DCMJVGM2DGMRVGE2HYMJXMVSWCNZUG4ZTK,BAL305,1,119.0,resale,2026-03-27T22:43:59Z
GN6DCMJVGM2DGMJSGYZXYMJXMVSWCNZVGI3TK,BAL305,1,119.0,resale,2026-03-27T22:43:59Z
GN6DCMJUHE2TKNZTGU3XYMJXMVSWCNZWG4ZDK,BAL305,4,117.81,resale,2026-03-27T22:43:59Z
GJ6DC7BXGQ,BAL306,2,84.0,standard,2026-03-27T22:43:59Z
GN6DCMJVGMYTCNBQGAYXYMJXMVSWCN3BGY4DK,BAL306,2,95.2,resale,2026-03-27T22:43:59Z
GN6DCMJUGY4TSNRZGQ4HYMJXMVSWKMZUGY4DK,BAL306,2,77.35,resale,2026-03-27T22:43:59Z
