offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGY4TKNZVGU2XYMJXMU2TKOJWGRRTK,CLUB10,2,181.5,resale,2026-03-26T02:11:57Z
GN6DCMBYGM3TANRVGQYHYMJXMU2TKOJWGQ4TK,CLUB10,2,130.68,resale,2026-03-26T02:11:57Z
GJ6DC7BVGU,CLUB10,2,157.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEZDOMZVGEYHYMJXMU4GMNBVMFRDK,CLUB10,2,101.64,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYTOMJUGE4XYMJXMU4GMNBTGI3DK,CLUB10,2,91.96,resale,2026-03-26T02:11:57Z
GJ6DC7BVGY,CLUB10,4,142.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGA4DINJSGE2XYMJXMU3TQNBVG5STK,CLUB10,2,108.9,resale,2026-03-26T02:11:57Z
GJ6DC7BVGQ,CLUB10,1,239.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYTKNBQGI3HYMJXMU4GMOLEHEZDK,CLUB10,2,108.9,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYTOMBTHE4XYMJXMU4GGYZVMVRDK,CLUB24,2,134.31,resale,2026-03-26T02:11:57Z
GN6DCMJVGAZTONZZGI2XYMJXMU2WMOJQMYZDK,CLUB24,2,171.82,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYTQNBUG4YHYMJXMU4GCNTBGM4DK,CLUB24,2,114.95,resale,2026-03-26T02:11:57Z
GJ6DC7BVGU,CLUB24,1,157.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYDEOBZHE3HYMJXMU4GKMDFGA2TK,CLUB24,2,116.16,resale,2026-03-26T02:11:57Z
GJ6DC7BVGY,CLUB24,11,142.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYDINJRGA3HYMJXMU4DEZRWMU3DK,CLUB24,2,127.05,resale,2026-03-26T02:11:57Z
GN6DCMJUHE2DKMRUGQZXYMJXMU4DSMJRGFTDK,CLUB24,2,356.95,resale,2026-03-26T02:11:57Z
GJ6DC7BVGQ,CLUB24,1,239.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGA4DQNJXGA3HYMJXMU4DSZJWMZQTK,CLUB24,2,137.94,resale,2026-03-26T02:11:57Z
GN6DCMJVGEZDMNRRG43HYMJXMU4GKZJTMI2DK,CLUB24,1,181.5,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYDCNZQGI3HYMJXMU4GKM3CMVRDK,CLUB25,2,185.13,resale,2026-03-26T02:11:57Z
GJ6DC7BVGQ,CLUB25,2,239.0,standard,2026-03-26T02:11:57Z
GJ6DC7BUHE,CLUB25,1,299.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGA4DSMBZGYZHYMJXMU3WCYTEMNTDK,CLUB26,2,131.89,resale,2026-03-26T02:11:57Z
GJ6DC7BVGY,CLUB26,7,142.0,standard,2026-03-26T02:11:57Z
GN6DCMJUGQYTSNBSG4ZXYMJXMU2TKOLCGAZTK,CLUB28,2,108.9,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYTSMBXGEYHYMJXMU4GMMLEGRQTK,CLUB28,2,111.32,resale,2026-03-26T02:11:57Z
GJ6DC7BVHA,CLUB30,3,149.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYDQMRWGIZXYMJXMU4GMNZTMM4TK,CLUB30,2,93.17,resale,2026-03-26T02:11:57Z
GJ6DC7BVG4,CLUB30,13,187.0,standard,2026-03-26T02:11:57Z
GJ6DC7BVHA,CLUB4,12,149.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYTOOJQGE3HYMJXMU4GKODDG5STK,CLUB4,2,89.54,resale,2026-03-26T02:11:57Z
GN6DCMJVGA4TSMBYHE3HYMJXMU4DAMLFMJSDK,CLUB4,2,108.9,resale,2026-03-26T02:11:57Z
GJ6DC7BVG4,CLUB4,4,187.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYTANRXG43XYMJXMU4DMMBZGMZTK,CLUB4,2,100.43,resale,2026-03-26T02:11:57Z
GN6DCMBUGQ3DANBRGM2XYMJXMU3WIYJRMI2TK,CLUB4,2,134.31,resale,2026-03-26T02:11:57Z
GN6DCMJVGA4TKNBQHA3HYMJXMU3WKMJXMUYDK,CLUB6,2,136.73,resale,2026-03-26T02:11:57Z
GN6DCMJTGE2TKNBTGU4HYMJXMU4GMYJTGRRDK,CLUB6,3,121.0,resale,2026-03-26T02:11:57Z
GJ6DC7BVG4,CLUB6,2,187.0,standard,2026-03-26T02:11:57Z
GJ6DC7BVG4,CLUB6,2,187.0,standard,2026-03-26T02:11:57Z
GJ6DC7BVGU,CLUB8,3,157.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGA4TQOBWGQZHYMJXMU4GKMBUGU2TK,CLUB8,2,111.32,resale,2026-03-26T02:11:57Z
GN6DCMJTHA2TOOJSGMYXYMJXMU2TKOJUMQZDK,CLUB8,2,180.29,resale,2026-03-26T02:11:57Z
GJ6DC7BVGY,CLUB8,3,142.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYTQMJQHE3HYMJXMU4GMZBVHFSDK,CLUB8,2,151.25,resale,2026-03-26T02:11:57Z
GN6DCMBQGA2DGMJQHEZXYMJXMU4GCZJQGVQTK,CLUB9,2,181.5,resale,2026-03-26T02:11:57Z
GN6DCMBQGA2DGMJRGA3HYMJXMU4GCZDBGMYDK,CLUB9,2,1815.0,resale,2026-03-26T02:11:57Z
GN6DCMJVGA4TINRYGUYXYMJXMU4GKNBQGQZDK,CLUB9,2,147.62,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYDCMJZGUZXYMJXMU4DCNBYMNSDK,CLUB9,2,179.08,resale,2026-03-26T02:11:57Z
GN6DCMJVGA3DSNZYGUZXYMJXMU4GKNBYMI2TK,CLUB9,2,140.36,resale,2026-03-26T02:11:57Z
GN6DCMJTGM3DIMJZHEZHYMJXMU2TKOJXMUZTK,CLUB9,2,181.5,resale,2026-03-26T02:11:57Z
GJ6DC7BVGQ,CLUB9,10,239.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGEYTQNJXGY2HYMJXMU4GMYLDMQZTK,CLUB9,2,137.94,resale,2026-03-26T02:11:57Z
GJ6DC7BVGU,CLUB9,5,157.0,standard,2026-03-26T02:11:57Z
GN6DCMJVGAZTGMZQHEYHYMJXMU4GKMTCMFRTK,FLR1,2,765.93,resale,2026-03-26T02:11:57Z
GN6DCMJVGEZDGNZRGAZHYMJXMU4GIMZTMM3TK,FLR24,1,784.08,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYDSMRUGY4XYMJXMU4DKZRZGE3TK,FLR24,2,302.5,resale,2026-03-26T02:11:57Z
GN6DCMJVGEZDGNZRGAZXYMJXMU4GIM3DMIYDK,FLR24,1,736.89,resale,2026-03-26T02:11:57Z
GN6DCMJUHE3TSNRYGQ4HYMJXMU4GMNDBGE2TK,FLR25,4,1815.0,resale,2026-03-26T02:11:57Z
GN6DCMJUHAZDAMJQGI4XYMJXMU2TOZBRMNTDK,FLR25,4,1646.81,resale,2026-03-26T02:11:57Z
GN6DCMJVGAZTGNJYGQ3XYMJXMU3WIYZUGE4TK,FLR25,1,423.5,resale,2026-03-26T02:11:57Z
GN6DCMBQGA2DGMJRGY3HYMJXMU4GCZDEMUYTK,FLR25,2,605.0,resale,2026-03-26T02:11:57Z
GN6DCMJVGEZDMMZYHA4HYMJXMU4GKYRXGY3TK,FLR26,2,603.79,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYDQOJXGQ4XYMJXMU4GKMJRMUYTK,FLR26,2,350.9,resale,2026-03-26T02:11:57Z
GN6DCMJVGEYDQMRZGAZXYMJXMU4GKNRZMU3DK,FLR26,2,169.4,resale,2026-03-26T02:11:57Z
GJ6DC7BVGI,FLR30,2,449.0,standard,2026-03-26T02:11:57Z
GN6DSNJUG43TQNBRGZ6DCN3FHBSTANRSGY2Q,FLR30,2,320.65,resale,2026-03-26T02:11:57Z
