offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGU4DEMZQHA4XYMJXMY3TCZBXGM3DK,1,2,290.4,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DENBQGQ2HYMJXMYYWINTEME3TK,1,2,847.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DENBSHA4HYMJXMYYWMNTDMM4TK,1,2,399.3,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TANZVHEZHYMJXMY3TCM3GGZQTK,1,2,302.5,resale,2026-03-30T23:00:00Z
GN6DSNJUHA2TQMRXG56DCN3GGZQTGZRVHA2Q,101,8,31.46,resale,2026-03-30T23:00:00Z
GJ6DC7BWGA,101,1,74.59,standard,2026-03-30T23:00:00Z
GN6DCMJVGU2TANBWHAZXYMJXMY2WMYRYGFSTK,101,1,81.07,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TSNJSGM3XYMJXMY3DKYJVGQ2TK,101,2,60.5,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TSOJQGI2XYMJXMY3TANJVMZTDK,101,2,39.93,resale,2026-03-30T23:00:00Z
GN6DCMJVGUZDGMRWGQ2XYMJXMY2GKODFMI2DK,101,1,67.76,resale,2026-03-30T23:00:00Z
GN6DCMJVGUZDGNJWHE2HYMJXMY3GKYLFHFRDK,101,3,27.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGQZTEMRSHEYXYMJXMYYTOYLCHE4DK,101,2,71.39,resale,2026-03-30T23:00:00Z
GN6DCMJUHA2TANZSHA3HYMJXMY3GMY3CHA2TK,101,3,38.72,resale,2026-03-30T23:00:00Z
GN6DCMJQGMYTENRRHAZHYMJXME4DONRQHBQTK,101,2,43.56,resale,2026-03-30T23:00:00Z
GN6DCMJUGU4DEMZVG4YHYMJXMQ4WKMRTMQ3TK,101,2,66.55,resale,2026-03-30T23:00:00Z
GJ6DC7BVHA,101,3,106.96,standard,2026-03-30T23:00:00Z
GN6DCMJSGY3TSOBZGQ4HYMJXMY3TCOBUMEZTK,101,4,22.0,resale,2026-03-30T23:00:00Z
GJ6DC7BVHE,101,8,91.96,standard,2026-03-30T23:00:00Z
GN6DCMBYHAZDONBZHAYXYMJXME4DONLGMQ3DK,101,2,60.5,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DGNBVGE3XYMJXMYYWKMJZGQZTK,101,2,25.0,resale,2026-03-30T23:00:00Z
GN6DCMJSGY3TGNJTGMYXYMJXMY3TAYZVGBRTK,101,2,43.56,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DCOJYHAYXYMJXMY3TAYZYMMYTK,101,2,43.56,resale,2026-03-30T23:00:00Z
GN6DCMJVGEYTKNBUGU2HYMJXMU4DQNZRG42TK,101,2,38.72,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DMNBYHA2XYMJXMY3DSOJXMIZDK,101,2,41.14,resale,2026-03-30T23:00:00Z
GN6DSNRWGM4DEMRSGZ6DCN3GGYYGEMZTGA2Q,101,4,43.56,resale,2026-03-30T23:00:00Z
GN6DCMJVGM3TGNRUGU3HYMJXMY3GKM3GGM2DK,101,2,42.35,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2DSOBYHE3HYMJXMY2WMNZUMMYTK,101,2,48.4,resale,2026-03-30T23:00:00Z
GJ6DC7BVHE,102,9,91.96,standard,2026-03-30T23:00:00Z
GN6DCMBRGMZTGNRQGM4XYMJXMY2WKODFGFRDK,102,3,23.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGUYTIMJXGQ4XYMJXMY3TCOLCGYZTK,102,4,25.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TMMJTG43XYMJXMY3DGN3DMU4TK,102,1,20.0,resale,2026-03-30T23:00:00Z
GJ6DC7BWGI,102,4,65.59,standard,2026-03-30T23:00:00Z
GJ6DC7BVHE,102,1,91.96,standard,2026-03-30T23:00:00Z
GN6DCMJVGA3TSMJVG42HYMJXMY3TAODBMFQTK,102,4,29.04,resale,2026-03-30T23:00:00Z
GN6DCMJVGQZTKNJZGAZXYMJXMYYTSOLEMQ4DK,102,2,30.25,resale,2026-03-30T23:00:00Z
GN6DCMJVGUZDIMBZGE3XYMJXMY2GKNLEG5RDK,103,1,145.2,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TIMJRGU3XYMJXMY3GGYLEMNRDK,103,2,96.8,resale,2026-03-30T23:00:00Z
GJ6DC7BVGM,103,2,152.98,standard,2026-03-30T23:00:00Z
GN6DCMJVGU2DCMZWGYZHYMJXMY2WCZBYGYZTK,103,2,67.76,resale,2026-03-30T23:00:00Z
GJ6DC7BVGQ,103,2,131.98,standard,2026-03-30T23:00:00Z
GN6DCMJVGM4DGMBRGY4XYMJXMY3GKYZQGJRDK,103,2,27.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TANZQGU4HYMJXMY3DAMBVME3DK,103,1,62.92,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TANZQGU4HYMJXMY3DAMBVME3DK,103,1,62.92,resale,2026-03-30T23:00:00Z
GN6DCMBYGUYDCNBYGU2HYMJXME4DONRSGAZDK,103,2,121.0,resale,2026-03-30T23:00:00Z
GN6DCMBRGMZTGNJYHA3XYMJXMY3GCNBVGE2DK,103,2,42.35,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DEMBRGU3HYMJXMYYWIM3FGZRTK,103,1,71.39,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DEMBRGU3HYMJXMYYWIM3FGZRTK,103,1,71.39,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TGOJXHA4HYMJXMY3GINJUGQZDK,103,1,48.4,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TGOJXHA4HYMJXMY3GINJUGQZDK,103,1,48.4,resale,2026-03-30T23:00:00Z
GJ6DC7BVHA,103,2,106.96,standard,2026-03-30T23:00:00Z
GN6DCMJVGMYDCMBRGI3XYMJXMY3TCZJZGFSTK,103,3,60.5,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TGOJXHE3HYMJXMY3GINRSMZSDK,103,1,48.4,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TGOJXHE3HYMJXMY3GINRSMZSDK,103,1,48.4,resale,2026-03-30T23:00:00Z
GN6DCMJTGU3TOMBSGQ3XYMJXMNTGGYZVMMZTK,103,2,99.22,resale,2026-03-30T23:00:00Z
GN6DSNRWGM4DEMRRGZ6DCN3GGYYGENRTMI2Q,103,4,60.5,resale,2026-03-30T23:00:00Z
GN6DSNJUHA2TQMRYG56DCN3GGZSWEOJZMU2Q,103A,8,32.67,resale,2026-03-30T23:00:00Z
GN6DCMJVGQYTMNBRGUZHYMJXMYYTAMDBMUZTK,103A,2,54.45,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DCNRTHEZHYMJXMY3DMZTDMJTDK,103A,1,42.35,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DCNRTHEZHYMJXMY3DMZTDMJTDK,103A,1,42.35,resale,2026-03-30T23:00:00Z
GN6DCMJVGUYDKOBTGA4HYMJXMY2DGMJVME2DK,103A,2,6050.0,resale,2026-03-30T23:00:00Z
