offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DK7BWG4,102,1,155.14,standard,2026-03-28T22:52:20Z
GJ6DK7BWG4,103,3,155.14,standard,2026-03-28T22:52:20Z
GN6DCMJVGQZTONRUHA4XYMJXMYYWCYTFMM4DK,103,2,192.23,resale,2026-03-28T22:52:20Z
GN6DCMJVGQZTCMJYGE3XYMJXMYYTOMTGGYYDK,103,2,223.68,resale,2026-03-28T22:52:20Z
GN6DCMJVGMYTQOBZGQYHYMJXMVSGEZRTGRRTK,103,1,182.91,resale,2026-03-28T22:52:20Z
GN6DCMJVGM2TINRYGQZXYMJXMYYWCNZWGQ3DK,105,2,359.99,resale,2026-03-28T22:52:20Z
GN6DCMJVGMYTEOBYGMZHYMJXMYYTQOJUGVTDK,106,2,307.56,resale,2026-03-28T22:52:20Z
GJ6DK7BWGQ,107,1,237.07,standard,2026-03-28T22:52:20Z
GJ6DK7BWGU,107,2,175.62,standard,2026-03-28T22:52:20Z
GN6DCMJTGA4TEMBVHEZXYMJXMFQTANZTGAZTK,107,2,237.66,resale,2026-03-28T22:52:20Z
GJ6DK7BWG4,108,5,155.14,standard,2026-03-28T22:52:20Z
GJ6DK7BWGY,109,5,195.94,standard,2026-03-28T22:52:20Z
GN6DCMJVGQYDKNBVGA3XYMJXMYYWEOBYMZTDK,109,3,115.34,resale,2026-03-28T22:52:20Z
GJ6DK7BWG4,109,3,155.14,standard,2026-03-28T22:52:20Z
GN6DCMJVGQZDOOJUGA3XYMJXMYYTQNLDHEYDK,109,1,154.95,resale,2026-03-28T22:52:20Z
GJ6DK7BWG4,110,17,155.14,standard,2026-03-28T22:52:20Z
GN6DCMJUGI3TANBQGQZXYMJXMVSGIY3CME4TK,110,2,318.05,resale,2026-03-28T22:52:20Z
GJ6DK7BWGQ,110,2,237.07,standard,2026-03-28T22:52:20Z
GJ6DK7BWGY,110,5,195.94,standard,2026-03-28T22:52:20Z
GJ6DK7BWGU,111,1,175.62,standard,2026-03-28T22:52:20Z
GJ6DK7BWGQ,112,1,237.07,standard,2026-03-28T22:52:20Z
GJ6DK7BWGU,112,1,175.62,standard,2026-03-28T22:52:20Z
GN6DCMJUGU3DCNBZHAZHYMJXMQ3GGNZZHE2TK,112,2,233.0,resale,2026-03-28T22:52:20Z
GJ6DK7BXG4,112,2,231.8,standard,2026-03-28T22:52:20Z
GJ6DK7BWG4,112,2,155.14,standard,2026-03-28T22:52:20Z
GJ6DK7BVHA,113,2,366.9,standard,2026-03-28T22:52:20Z
GN6DCMJVGQZTAMJQGEYHYMJXMYYTMOBZHA2DK,113,2,445.03,resale,2026-03-28T22:52:20Z
GJ6DK7BWGE,113,2,279.22,standard,2026-03-28T22:52:20Z
GN6DCMJVGQZDOMZSGEYXYMJXMYYTQOJXG44DK,113,4,323.87,resale,2026-03-28T22:52:20Z
GN6DCMJVGQYDINZWGI3XYMJXMYYWCMJRGRRDK,114,2,356.49,resale,2026-03-28T22:52:20Z
