offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQ3TSOBWGMZHYMJXMYZWCNRWGE4TK,101,2,233.0,resale,2026-03-29T21:31:46Z
GN6DCMJTGQYDGMRVGQ2HYMJXMVSTMYZYGQZTK,101,2,231.84,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCNZVGQYHYMJXMYYDOZLEHE3DK,101,2,276.11,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCNZVGQYXYMJXMYYDOZRTGNQTK,101,2,256.3,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TKOJUHAYXYMJXMYZWKYZQGUZDK,103,2,267.95,resale,2026-03-29T21:31:46Z
GN6DCMJVGAYDMOBYGMYXYMJXMVSTMYZWGZSDK,103,2,325.04,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TQMRUHA3HYMJXMYZWKZDEGBSDK,103,2,267.95,resale,2026-03-29T21:31:46Z
GN6DCMJVGI2TKNBQGU2XYMJXMVSTMY3FHAZDK,103,2,276.11,resale,2026-03-29T21:31:46Z
GJ6DK7BVHA,104,4,547.53,standard,2026-03-29T21:31:46Z
GN6DCMJVGUYDGNBRGAZHYMJXMY2DCY3EMJSTK,105,2,692.01,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDCMZZHEZXYMJXMYYDOYRZHFRTK,106,1,407.75,resale,2026-03-29T21:31:46Z
GN6DCMJVGE4TQOJWGA2HYMJXMYZTMOJWGI2DK,107,2,308.73,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ2DOMJUGUYXYMJXMY2DCMDCGIZTK,108,2,226.01,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4DKOJTGY3XYMJXMYZTQNLGMQYDK,109,5,291.25,resale,2026-03-29T21:31:46Z
GN6DCMJVGE4TINJQGE3XYMJXMVSTMZBQGAYDK,109,4,340.18,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDINJXHE3XYMJXMY2DENZUGZTDK,112,4,222.52,resale,2026-03-29T21:31:46Z
GJ6DK7BWGE,113,2,573.6,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4TONBQHEYXYMJXMY2DENRTG44TK,114,2,431.05,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDAOBWGQYHYMJXMY2DEOJZGU2TK,114,2,,resale,2026-03-29T21:31:46Z
GN6DCMJUHA4DKNRTGQYXYMJXMVSTMYZZGY2DK,116,4,305.23,resale,2026-03-29T21:31:46Z
GN6DCMJVGQZTSMRQGI3XYMJXMYYWEODBG5STK,116,2,270.28,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDCMZQGY4HYMJXMY2DAOJYGBSDK,116,3,369.31,resale,2026-03-29T21:31:46Z
GJ6DK7BWGY,117,1,288.3,standard,2026-03-29T21:31:46Z
GJ6DK7BWGU,117,5,288.3,standard,2026-03-29T21:31:46Z
GJ6DK7BWG4,117,1,279.22,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4DCOBSGI2XYMJXMY2DANZWMUYTK,117,1,259.8,resale,2026-03-29T21:31:46Z
GJ6DK7BWGQ,118,2,391.09,standard,2026-03-29T21:31:46Z
GN6DCMJVGQZDIMZYGAZHYMJXMYYTGMTCHFRTK,118,2,815.5,resale,2026-03-29T21:31:46Z
GN6DCMJUG43DENRVGYYHYMJXMVSTMY3GMYZDK,208,2,174.75,resale,2026-03-29T21:31:46Z
GJ6DK7BXGE,209,4,134.39,standard,2026-03-29T21:31:46Z
GN6DCMJVGQ4DOMRSGMYHYMJXMYZWMNTBMFQTK,209,2,121.16,resale,2026-03-29T21:31:46Z
GN6DCMJVGUYDCOJXHAZHYMJXMY2DCMDFMFRTK,209,2,83.88,resale,2026-03-29T21:31:46Z
GJ6DK7BXGM,209,7,108.58,standard,2026-03-29T21:31:46Z
GN6DCMJVGUYDIMZVGEYXYMJXMY2DENJZGIYTK,212,1,128.15,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDQMZWGY2HYMJXMYYGCZLDGMYDK,216,3,168.93,resale,2026-03-29T21:31:46Z
GN6DCMJUGQ4DQNJXGQ3HYMJXMVSTMY3FGY4DK,216,2,203.88,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ3TMNJXGI2HYMJXMYZTEZRYGUZDK,216,5,144.46,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TKMZRHE3HYMJXMYZWGOBUGU4DK,216,2,140.97,resale,2026-03-29T21:31:46Z
GN6DCMJUGQ4TINJVGIZHYMJXMY2DAY3CMQYTK,217,2,131.65,resale,2026-03-29T21:31:46Z
GN6DCMJUHA3DQNZYGYZHYMJXMVSTMZBUGRTDK,217,2,174.75,resale,2026-03-29T21:31:46Z
GN6DCMJVGEYDGMZZGY2XYMJXMVSTMY3GMY4TK,217,2,186.4,resale,2026-03-29T21:31:46Z
GN6DCMJVGQ4TSNRRGM3HYMJXMY2DCYRZGA4TK,220,2,89.71,resale,2026-03-29T21:31:46Z
GJ6DK7BWHE,224,2,211.8,standard,2026-03-29T21:31:46Z
GN6DCMJVGQYDKNZXGEZHYMJXMYYDSZBTMJTDK,225,1,291.25,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDKMZYHE2XYMJXMYYDSYZRGU3TK,225,1,291.25,resale,2026-03-29T21:31:46Z
GN6DCMJVGQYDKNJWGUYXYMJXMYYDSYZUMY4TK,225,1,291.25,resale,2026-03-29T21:31:46Z
GN6DCMJUGI2DONZVGI4XYMJXMVSTMY3DGBSTK,226,2,147.96,resale,2026-03-29T21:31:46Z
GJ6DK7BXGA,227,2,149.76,standard,2026-03-29T21:31:46Z
GJ6DK7BXGU,229,19,82.67,standard,2026-03-29T21:31:46Z
GJ6DK7BXGI,231,1,108.58,standard,2026-03-29T21:31:46Z
GN6DCMJVGEZDMMRSG4YXYMJXMVSTMY3BMQ2TK,231,1,116.5,resale,2026-03-29T21:31:46Z
GJ6DK7BXGQ,232,1,92.78,standard,2026-03-29T21:31:46Z
GN6DCMJVGQZDAOJTG42HYMJXMYYTCNDGGY3DK,233,2,118.83,resale,2026-03-29T21:31:46Z
