offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQ4DIMZZGM3HYMJXMY3GMMJQGIZTK,101,2,553.5,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DKMJXHAZXYMJXMY3TEZTDGY3DK,101,2,399.75,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DSMRWGU3XYMJXMY3TKN3GGJSDK,101,3,440.34,resale,2026-03-31T01:00:00Z
GN6DCMJVGUZDENJZGU2XYMJXMY2GINZRHA2DK,101,2,424.35,resale,2026-03-31T01:00:00Z
GJ6DC7BVGE,101,2,576.7,standard,2026-03-31T01:00:00Z
GJ6DC7BVGA,101,1,656.45,standard,2026-03-31T01:00:00Z
GN6DCMJUG4ZTSOBVGU3XYMJXMRRTMOJUMJRTK,101,2,2398.5,resale,2026-03-31T01:00:00Z
GN6DCMJUGY3DGMZYGMZXYMJXMY3TKNTEHAZDK,102,2,285.36,resale,2026-03-31T01:00:00Z
GN6DCMBTGE4TCNZZG44XYMJXMY3TKZBWG44TK,102,1,258.3,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3DKNJTHAZHYMJXMY3DSMRQGU4TK,102,2,313.65,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3TKOJQGU3XYMJXMY3GKNDBME4DK,102,2,258.3,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3TIOJWGY3XYMJXMY3TMMBQGY2DK,102,4,327.18,resale,2026-03-31T01:00:00Z
GJ6DC7BVGI,102,7,466.3,standard,2026-03-31T01:00:00Z
GN6DCMJVGU3TMMJWGU3HYMJXMY3TKZRQHFSTK,103,2,259.53,resale,2026-03-31T01:00:00Z
GN6DCMJVGQYDKOJVGQ4XYMJXMY3GIMJXMFSDK,103,3,293.97,resale,2026-03-31T01:00:00Z
GJ6DC7BVGU,103,2,263.85,standard,2026-03-31T01:00:00Z
GN6DCMJTHAYTIMBVGE3HYMJXMMZWKZBRGFQTK,104,2,325.95,resale,2026-03-31T01:00:00Z
GN6DCMJVGAZTCOJYGYZXYMJXMY3TANLDME3DK,104,1,246.0,resale,2026-03-31T01:00:00Z
GN6DCMJVGEZDANJYHEZHYMJXMY3TANLDGY3DK,105,2,153.75,resale,2026-03-31T01:00:00Z
GN6DCMBWGAYTANJSHA2XYMJXMY2GIOJTMU4TK,105,2,220.17,resale,2026-03-31T01:00:00Z
GN6DCMJSGQ2TGOJWGU2XYMJXMY3TGZLGMY3TK,105,2,153.75,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3DQMBYGU2HYMJXMY3TGNLGGVTDK,105,2,153.75,resale,2026-03-31T01:00:00Z
GN6DCMJUGEZDAMBSGY4HYMJXMY3TIODBGYZTK,106,1,153.75,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3DONJRGQZXYMJXMY3TIZJRHEZTK,106,2,194.34,resale,2026-03-31T01:00:00Z
GN6DCMJTGMZDKNRZGU4XYMJXMY3DAOLBGQ3TK,106,2,153.75,resale,2026-03-31T01:00:00Z
GN6DSNRRHA4DAMBZGN6DCN3GG42WGNBTG42Q,106,2,142.68,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DSMRZGAZXYMJXMY3TKOBQMI3TK,106,2,166.05,resale,2026-03-31T01:00:00Z
GN6DCMJVGUZDGNBVHAZHYMJXMY3TAYJZGJRDK,106,4,168.51,resale,2026-03-31T01:00:00Z
GN6DCMJVGQYDSMRQHE2XYMJXMYZTOZRZGVSTK,107,2,375.15,resale,2026-03-31T01:00:00Z
GN6DCMJUGEZDAMJYGYZXYMJXMY3TEZJSMU3TK,107,1,244.77,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DQNZRGAZXYMJXMY3TKZRSMRSTK,108,2,159.9,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DSNZTGQ4XYMJXMY3TKZBVMNRTK,108,2,145.14,resale,2026-03-31T01:00:00Z
GN6DCMJVGIYTOMRQGM3HYMJXMVRDSYTFMMYTK,108,2,248.46,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DQNRRGQZHYMJXMY3TKZRQMFRDK,108,2,196.8,resale,2026-03-31T01:00:00Z
GN6DCMJVGQZDGNZYGYYXYMJXMYYTEYTDMZRDK,108,2,307.5,resale,2026-03-31T01:00:00Z
GN6DCMJVGQ4TQNJSHA3HYMJXMY3TKNDCMJRTK,108,1,147.6,resale,2026-03-31T01:00:00Z
GJ6DC7BWGA,108,2,214.75,standard,2026-03-31T01:00:00Z
GN6DCMJVGU4DEOJXHA2HYMJXMY3TGNRTG4YTK,108,3,302.58,resale,2026-03-31T01:00:00Z
GJ6DC7BVGM,108,1,368.1,standard,2026-03-31T01:00:00Z
GN6DCMJRHEZDGNBYGAZXYMJXMY3TIMDEMJRDK,109,2,205.41,resale,2026-03-31T01:00:00Z
GN6DCMJVGUYDMNZSGU2XYMJXMY2TQOBWHA3DK,109,2,215.25,resale,2026-03-31T01:00:00Z
GN6DCMJVGUYTINRTGA2XYMJXMY3TIYRQMRRDK,109,2,190.65,resale,2026-03-31T01:00:00Z
GJ6DC7BVGY,109,2,220.9,standard,2026-03-31T01:00:00Z
GN6DCMJVGU3TAMRZGY4HYMJXMY3GEY3GMFRDK,110,2,307.5,resale,2026-03-31T01:00:00Z
GN6DCMJVGU4DSNJYGI2XYMJXMY3TKYRYMIZDK,110,2,252.15,resale,2026-03-31T01:00:00Z
GN6DCMJVGU3TEMBVGA4HYMJXMY3TGYRWMY4TK,110,2,246.0,resale,2026-03-31T01:00:00Z
GN6DCMJSHE3TGNBUGI3HYMJXMY3DINBYMJSDK,110,4,369.0,resale,2026-03-31T01:00:00Z
GJ6DC7BVGE,110,2,576.7,standard,2026-03-31T01:00:00Z
GN6DCMJVGQZDKNBUGYZHYMJXMY3TAZTEHFRDK,111,2,799.5,resale,2026-03-31T01:00:00Z
GN6DCMJRGIZTSMJTG4YXYMJXMY2TSODFMIZDK,111,1,369.0,resale,2026-03-31T01:00:00Z
GN6DCMJRGIZTSMJTG4ZHYMJXMY2TSYRYMFTDK,111,1,356.7,resale,2026-03-31T01:00:00Z
GN6DCMJTGI2DINZXHE3XYMJXMU3GCYTCGU2DK,111,1,482.16,resale,2026-03-31T01:00:00Z
