offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUG42TEMZVGAZXYMJXMRRWIZRSGU4TK,101,4,196.35,resale,2026-03-22T02:16:54Z
GN6DCMJTG4YTIMJUHA4HYMJXMQ4TKNTBGY2DK,106,2,238.0,resale,2026-03-22T02:16:54Z
GN6DCMJUGY4DGOBRGU3XYMJXMRRWCNJSMQ4DK,112,2,121.38,resale,2026-03-22T02:16:54Z
GN6DCMJUGY4TSNJUGQ4HYMJXMRRTSNDDGE4TK,115,2,136.85,resale,2026-03-22T02:16:54Z
GJ6DC7BVG4,118,3,402.92,standard,2026-03-22T02:16:54Z
GJ6DC7BVGQ,118,2,694.87,standard,2026-03-22T02:16:54Z
GJ6DC7BVGY,119,4,496.34,standard,2026-03-22T02:16:54Z
GN6DCMBXGM3DQMBZGE3HYMJXME3WKYJQGIYTK,119,2,562.87,resale,2026-03-22T02:16:54Z
GJ6DC7BVGU,120,4,496.34,standard,2026-03-22T02:16:54Z
GJ6DC7BVHA,120,1,373.7,standard,2026-03-22T02:16:54Z
GJ6DC7BVHE,120,8,337.5,standard,2026-03-22T02:16:54Z
GJ6DC7BWGE,121,16,290.79,standard,2026-03-22T02:16:54Z
GJ6DC7BWGI,122,27,244.08,standard,2026-03-22T02:16:54Z
GN6DCMJUG43DEOBUGY2HYMJXMRSDGNZTGM3TK,122,2,119.0,resale,2026-03-22T02:16:54Z
GJ6DC7BWGM,123,26,209.04,standard,2026-03-22T02:16:54Z
GJ6DC7BWGQ,124,20,185.69,standard,2026-03-22T02:16:54Z
GJ6DC7BWGA,124,17,337.5,standard,2026-03-22T02:16:54Z
GN6DCMJUGI3DEOJSGM3XYMJXMRSDKM3EGMYDK,204,2,119.0,resale,2026-03-22T02:16:54Z
GN6DCMJUGM2TSOBQGY2XYMJXMRRWCNJSMUZDK,204,2,114.24,resale,2026-03-22T02:16:54Z
GJ6DCMBWGAYDANL4GY3A,213,14,314.15,standard,2026-03-22T02:16:54Z
GN6DCMJUGY4DGNRYGI4HYMJXMRQTGYRQGZSTK,215,2,476.0,resale,2026-03-22T02:16:54Z
GN6DCMJUGY4DENJTGI2XYMJXMRQTGMBZGY4DK,215,1,297.5,resale,2026-03-22T02:16:54Z
GJ6DC7BWGU,219,18,290.79,standard,2026-03-22T02:16:54Z
GJ6DC7BWGY,220,14,209.04,standard,2026-03-22T02:16:54Z
GJ6DC7BWG4,225,3,174.01,standard,2026-03-22T02:16:54Z
GN6DCMJUGM3DANBXGI2XYMJXMNSTINDBMI4DK,308,1,120.19,resale,2026-03-22T02:16:54Z
GN6DCMJUGM3DANZUGMYXYMJXMNSTIN3CGUZTK,308,1,120.19,resale,2026-03-22T02:16:54Z
GN6DCMJUGQYTQNZSGMZXYMJXMRSDKNZYGE4DK,309,2,76.16,resale,2026-03-22T02:16:54Z
GN6DCMJUGE4TQOBXGUYHYMJXMRSDCZTGMEZDK,311,2,70.21,resale,2026-03-22T02:16:54Z
GN6DCMJTGE4DGNZWGUYHYMJXME3WKYJSHBSTK,311,2,116.62,resale,2026-03-22T02:16:54Z
GJ6DC7BWHA,326,2,99.29,standard,2026-03-22T02:16:54Z
GN6DCMJUGQZDSNRVG43XYMJXMQZDQNZXMIZTK,327,2,59.5,resale,2026-03-22T02:16:54Z
GJ6DC7BWHE,334,2,74.72,standard,2026-03-22T02:16:54Z
GJ6DC7BXGA,334,2,57.23,standard,2026-03-22T02:16:54Z
