offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGU4DEMZRGM3HYMJXMQ3TMNBSGU3DK,10,3,453.75,resale,2026-03-20T00:52:08Z
GN6DCMJUGQYDSMRSGI4XYMJXMQ3TMNBRHEYTK,10,2,484.0,resale,2026-03-20T00:52:08Z
GJ6DC7BXGA,101,1,228.2,standard,2026-03-20T00:52:08Z
GN6DCMJUGAYTMMJRGE2XYMJXMQ3TMNBTMEZTK,102,1,133.1,resale,2026-03-20T00:52:08Z
GN6DCMJUGM3DMNJRGYZXYMJXMQ3TMNBTME3DK,106,2,428.34,resale,2026-03-20T00:52:08Z
GN6DCMJTGAYTENJXGQZHYMJXMQ3TMM3DMVSTK,106,1,302.5,resale,2026-03-20T00:52:08Z
GN6DCMJUGE4TONBYG42XYMJXMQ3TMNBUHA2TK,107,2,361.79,resale,2026-03-20T00:52:08Z
GN6DCMJUGU4DKMJVHA2HYMJXMQ3TMY3FGI4TK,107,1,302.5,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3TGOJUGQYHYMJXMQ3TMNBQGI2DK,107,1,242.0,resale,2026-03-20T00:52:08Z
GJ6DC7BWHE,111,1,239.15,standard,2026-03-20T00:52:08Z
GN6DCMJUGU3TQNBWGY4HYMJXMQ3TMNBQMVTDK,112,1,164.56,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3TMOJZGI2XYMJXMQ3TMNBVGEZTK,112,2,191.18,resale,2026-03-20T00:52:08Z
GN6DCMJUGU4DANZUGY3XYMJXMQ3TMNBZME4TK,115,1,137.94,resale,2026-03-20T00:52:08Z
GN6DCMJUGQYTANZWGYZXYMJXMQ3TONDGMFSTK,120,2,363.0,resale,2026-03-20T00:52:08Z
GN6DCMJTHAYTANZSG44HYMJXMQ3TMNBTMEZDK,120,2,278.3,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3DONRYGQ4HYMJXMQ3TMM3GGU4DK,122,2,302.5,resale,2026-03-20T00:52:08Z
GJ6DC7BWHA,124DA,2,266.26,standard,2026-03-20T00:52:08Z
GN6DCMJUGU4DGNBWHE3XYMJXMQ3TMNBSGU3TK,125,1,163.35,resale,2026-03-20T00:52:08Z
GJ6DC7BXGY,209,8,96.17,standard,2026-03-20T00:52:08Z
GJ6DC7BXGU,210,2,127.01,standard,2026-03-20T00:52:08Z
GN6DCMJUGU3DOOBSGAYHYMJXMQ3TMNBUHBQTK,210,2,113.74,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3TSNZXGAYHYMJXMQ3TMNBSMY3TK,211,2,84.7,resale,2026-03-20T00:52:08Z
GN6DCMJUGQ4DIMZRGIYHYMJXMQ3TMNBSGRTDK,22,2,943.8,resale,2026-03-20T00:52:08Z
GN6DSOBWHA3DMMJUGN6DCN3EG43DINBYGE2Q,22,4,1028.5,resale,2026-03-20T00:52:08Z
GN6DCMJUGUYTIMRWGUYXYMJXMQ3TMM3GGUZTK,224,1,108.9,resale,2026-03-20T00:52:08Z
GJ6DC7BXGU,226,2,127.01,standard,2026-03-20T00:52:08Z
GN6DCMJUGU3TOMBVGY4XYMJXMQ3TMM3DGVRTK,226,2,93.17,resale,2026-03-20T00:52:08Z
GN6DCMJUGU4DCNRQGY4XYMJXMQ3TMNBYGE4DK,227,2,84.7,resale,2026-03-20T00:52:08Z
GN6DCMJUGU2TCNRWGEZXYMJXMQ3TMNBRHE3DK,228,1,90.75,resale,2026-03-20T00:52:08Z
GJ6DC7BXGU,230,1,127.01,standard,2026-03-20T00:52:08Z
GN6DCMJUGU4DMMBVHE3HYMJXMQ3TOMZXGI3TK,24,2,229.9,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3TKOBTGI4XYMJXMQ3TOMRZGYYTK,24CC,2,490.05,resale,2026-03-20T00:52:08Z
GN6DCMJUGU2DIMBYGIYXYMJXMQ3TMNBQGIYTK,25,2,361.79,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3TONZSGQZXYMJXMQ3TMM3DGVRDK,3,1,211.75,resale,2026-03-20T00:52:08Z
GN6DCMJUGU2TCOBWGI4HYMJXMQ3TMNBTMFQTK,SB1C,2,363.0,resale,2026-03-20T00:52:08Z
GN6DCMJUGU3DOMJSG44XYMJXMQ3TMNBSMYZDK,SB2B,2,349.69,resale,2026-03-20T00:52:08Z
GJ6DC7BXG4,SROGA,62,91.01,standard,2026-03-20T00:52:08Z
GN6DCMJUGU4DMMBVHE2HYMJXMQ3TONBWMRQTK,SROGA,1,66.55,resale,2026-03-20T00:52:08Z
