offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGQYDSMRSGI4XYMJXMQ3TENZQMI4TK,10,2,544.5,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2TMNJZGAYHYMJXMQ3TGYZYGNRDK,10,2,542.08,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TQNRYG4YHYMJXMQ3TENTEMJSTK,101,1,217.8,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2DSNZVGUYHYMJXMQ3TIMZTGAYDK,101,1,188.76,resale,2026-03-19T23:17:44Z
GJ6DC7BXGA,101,1,228.2,standard,2026-03-19T23:17:44Z
GN6DCMBTHA4TMMZYGU4HYMJXMQ3TIMZTMIYTK,101,1,182.71,resale,2026-03-19T23:17:44Z
GN6DCMJUGQYTKMRXHEYXYMJXMQ2WMMTEG44TK,101,2,423.5,resale,2026-03-19T23:17:44Z
GN6DCMJUGU4DCNJRGA3XYMJXMQ3TIMTFME3TK,101,2,244.42,resale,2026-03-19T23:17:44Z
GN6DCMJUGAYTMMJRGE2XYMJXMQ3GIZLEGI4DK,102,1,266.2,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGE4HYMJXMQ3TIMZUHAZTK,102,1,179.08,resale,2026-03-19T23:17:44Z
GJ6DC7BXGA,102,1,228.2,standard,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGE3XYMJXMQ3TIMZQHFRDK,102,1,179.08,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGY2XYMJXMQ3TGYRVMZSTK,103,1,185.13,resale,2026-03-19T23:17:44Z
GN6DCMJUGQZTGMJRGI3HYMJXMQ3TIMZQGMYDK,104,1,192.39,resale,2026-03-19T23:17:44Z
GN6DCMJUGQZTANBUGMYHYMJXMQYTQOBXMU3DK,104,1,239.58,resale,2026-03-19T23:17:44Z
GN6DCMJUGQZTANBSGY2XYMJXMQ3TIMZRGYYDK,104,1,181.5,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TIMBXG4YHYMJXMQ3GMY3EGUYTK,105,2,264.99,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2DSOBRGA4XYMJXMQ3DIOBZMY2TK,106,2,320.65,resale,2026-03-19T23:17:44Z
GN6DCMJUGM3DMNJRGYZXYMJXMNTDMOJZGBRDK,106,2,428.34,resale,2026-03-19T23:17:44Z
GN6DCMJTGAYTENJXGQZHYMJXMNTGGZRVMI4TK,106,1,302.5,resale,2026-03-19T23:17:44Z
GN6DCMJUGE4TONBYG42XYMJXMQ3DAOJQHA4TK,107,2,361.79,resale,2026-03-19T23:17:44Z
GN6DCMJUGM2TGNJUGA2HYMJXMQ3TCNBVGU3DK,107,2,258.94,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2TEMRUGEZXYMJXMQ3TAMZVG4YTK,107,2,297.66,resale,2026-03-19T23:17:44Z
GJ6DC7BWGM,107,1,336.22,standard,2026-03-19T23:17:44Z
GN6DCMJTGY3DQMRUGQ4HYMJXMIYTGOJRHA3DK,107,2,411.4,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TGOJUGQYHYMJXMQ3GMY3DMJRDK,107,1,242.0,resale,2026-03-19T23:17:44Z
GN6DCMJUGU2DSOBUGQ4HYMJXMQ3GINJVGM2TK,108,2,302.5,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3DKMJXGM2HYMJXMQ3TEMDDGM3TK,109,1,237.16,resale,2026-03-19T23:17:44Z
GN6DCMJUGQ3TSMRTGIZHYMJXMQ3TIMDGGI2TK,110,2,168.19,resale,2026-03-19T23:17:44Z
GJ6DC7BWHE,111,1,239.15,standard,2026-03-19T23:17:44Z
GN6DCMBUGA2TIMJTGU3HYMJXMQ3TIMTGGQ4TK,111,1,187.55,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TQNBWGY4HYMJXMQ3TENDCHFSTK,112,1,164.56,resale,2026-03-19T23:17:44Z
GN6DCMBTHA4TMMZZGMYHYMJXMQ3TIMZSMEZDK,112,1,203.28,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3TMOJZGI2XYMJXMQ3TCNZZGEYTK,112,2,191.18,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGUZHYMJXMQ3TGYRWGE2TK,112,1,186.34,resale,2026-03-19T23:17:44Z
GN6DCMJUGU4DANZQHAYHYMJXMQ3TGYTFGFTDK,113,2,12098.79,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBTGY3XYMJXMQ3TIMTGHEZDK,113,1,185.13,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGE4XYMJXMQ3TIMTEGZQTK,113,1,182.71,resale,2026-03-19T23:17:44Z
GN6DCMBTHA4TKNRXGY4XYMJXMQ3TIMTCGFQTK,114,1,185.13,resale,2026-03-19T23:17:44Z
GJ6DC7BXGM,114,6,191.19,standard,2026-03-19T23:17:44Z
GN6DCMJUGU4DANZUGY3XYMJXMQ3TGYLCGBRDK,115,1,137.94,resale,2026-03-19T23:17:44Z
GN6DCMJUGU3DGNZTGQ3XYMJXMQ3GGOBRMM2TK,115,2,393.25,resale,2026-03-19T23:17:44Z
GN6DCMBTHA4TMMZYGYYHYMJXMQ3TGZRVGBQTK,116,1,185.13,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUGY3XYMJXMQ3TIMTEG42DK,116,1,177.87,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBUG4ZHYMJXMQ3TIMZYGEYTK,116,1,175.45,resale,2026-03-19T23:17:44Z
GN6DCMBTHA4TQMBWGM4HYMJXMQ3TIMRXG44DK,116,1,174.24,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBTHA3XYMJXMQ3TIMZTME4TK,117,1,193.6,resale,2026-03-19T23:17:44Z
GN6DCMJUGUYDGOJYGA4XYMJXMQ3TIMTCMY4TK,117,1,179.08,resale,2026-03-19T23:17:44Z
GN6DCMJUGMZDIMBTHEYXYMJXMQ3TEMJWMI2TK,118,1,205.7,resale,2026-03-19T23:17:44Z
GN6DCMJUGUYTSNBZGMZHYMJXMQ3TIMZTGVQTK,118,1,188.76,resale,2026-03-19T23:17:44Z
GN6DCMJUGQYTANZWGYZXYMJXMQ3TINLDMI3DK,120,2,471.9,resale,2026-03-19T23:17:44Z
