offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGMZTCNJQGQ2HYMJXMY3TCYJSHBSTK,101,1,198.03,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DEMBQGY2HYMJXMY3TCNDFGA3TK,101,2,210.33,resale,2026-03-30T23:00:00Z
GJ6DC7BXGA,101,2,255.31,standard,2026-03-30T23:00:00Z
GN6DCMBWGEYTENZUGEZXYMJXMFRTIOJQMY4TK,101,1,172.2,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNZQHE2HYMJXMY3TCOLCMEZDK,101,1,163.59,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKOBUG43XYMJXMY3TCZJRG4YTK,101,1,153.75,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DONBXGQ2HYMJXMY3GCMJTGYYDK,102,1,184.5,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DAMBZHA4XYMJXMY3TANZQMVRDK,103,2,209.1,resale,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZUHE3HYMJXMY3TCY3DGQ3DK,103,1,182.04,resale,2026-03-30T23:00:00Z
GJ6DC7BXGA,103,1,255.31,standard,2026-03-30T23:00:00Z
GN6DCMJUGU4DAMJQG4ZXYMJXMY3GIODBMIZDK,103,2,215.25,resale,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZVGI3XYMJXMY3TCYJQGQ2TK,103,1,167.28,resale,2026-03-30T23:00:00Z
GN6DCMJVGUZDMMZXG4YXYMJXMY3TCOLFGA4DK,104,1,180.81,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCMZZG4ZXYMJXMY3TCZDDMU2DK,105,1,180.81,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TAMRTGM3XYMJXMY3TCNBVGVTDK,105,2,246.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TINRUGM2XYMJXMY3GIYJUMVRDK,107,1,233.7,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNBYGY2HYMJXMY3TAOBVGVSDK,107,2,313.65,resale,2026-03-30T23:00:00Z
GN6DCMJVGQ2DAOBVG43XYMJXMYYWGOJVMZSTK,107,1,282.9,resale,2026-03-30T23:00:00Z
GN6DCMJVGIZDQNZSGM2HYMJXMY3TCYRVHE3TK,107,1,212.79,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMBZGYYXYMJXMY3TCOLBGQ4DK,109,1,227.55,resale,2026-03-30T23:00:00Z
GJ6DC7BXGE,109,1,265.26,standard,2026-03-30T23:00:00Z
GN6DCMJVGU4DCNZRHEZXYMJXMY3TCMRXMYYTK,111,2,338.25,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMBZGYYHYMJXMY3TCOJZG5RDK,111,1,178.35,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TCNBQG4ZXYMJXMY3TCYTGHE3DK,112,2,217.71,resale,2026-03-30T23:00:00Z
GJ6DC7BWHE,112,1,267.31,standard,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZTG43HYMJXMY3TCN3BMRSDK,112,1,168.51,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TCNJQGAZHYMJXMY3GGNJRGJRTK,112,2,344.4,resale,2026-03-30T23:00:00Z
GN6DCMJUHA4DCMJWGA3XYMJXMY2WKYJWMM3TK,112,1,258.3,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCMZZHAZXYMJXMY3TCOLCMI4DK,113,1,158.67,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DENZWGY3HYMJXMY3TCYLDGY3TK,115,2,196.8,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCMZZHA3XYMJXMY3TCZBYGQ3TK,115,1,154.98,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCMZZG42HYMJXMY3TCZRSMIZTK,116,2,204.18,resale,2026-03-30T23:00:00Z
GN6DCMJUGQYDANZSHEYXYMJXMY3TCY3EMJTDK,116,1,167.28,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMJRGMZXYMJXMY3TCZBXGZRTK,116,1,164.82,resale,2026-03-30T23:00:00Z
GJ6DC7BXGM,116,1,189.08,standard,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZVHA4HYMJXMY3TCY3GGJSTK,116,1,161.13,resale,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZUGM2HYMJXMY3TCOJZMVRTK,117,1,211.56,resale,2026-03-30T23:00:00Z
GJ6DC7BWHE,117,1,267.31,standard,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZUG43HYMJXMY3TCYLFME2DK,118,1,209.1,resale,2026-03-30T23:00:00Z
GJ6DC7BWHA,118,1,298.16,standard,2026-03-30T23:00:00Z
GJ6DC7BWHE,118,3,267.31,standard,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMJRGAYXYMJXMY3TCYRVGYYTK,119,1,195.57,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DMNBWGM3XYMJXMY3DSODFHAYDK,119,2,338.25,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TCNJRGIYXYMJXMY3DAN3BMFSDK,119,2,225.09,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCNBQHAZXYMJXMY3TCZDEHEYTK,119,1,168.51,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TINJQGYZXYMJXMY3GIODFHAZTK,120,1,172.2,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DQNZYGM3HYMJXMY3GCZDDGRTDK,120,2,276.75,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TQOBTGQYHYMJXMY3DKNBXMI4TK,120,2,259.53,resale,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZUG44XYMJXMY3TCYJSGY3TK,120,1,190.65,resale,2026-03-30T23:00:00Z
GN6DCMJVGAZTINBZHE4HYMJXMVSWCZTFMFTDK,120,2,284.13,resale,2026-03-30T23:00:00Z
GN6DCMJUHA3DSNBQGQZXYMJXMY3DCN3GGIZDK,121,2,369.0,resale,2026-03-30T23:00:00Z
GN6DCMJUHEZTQNBZGM4XYMJXMVSTANTDGU3DK,121,2,338.25,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMBZGYZHYMJXMY3TAOBXHE3DK,121,1,277.98,resale,2026-03-30T23:00:00Z
GN6DCMJTHA3DKOBUGI4XYMJXMY3DMOJRGMZTK,121,2,264.45,resale,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZWGA2XYMJXMY3TCYRRMZRDK,121,1,220.17,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNJVHEYXYMJXMY3TAOBYMU2DK,122,2,328.41,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCNBQHA2XYMJXMY3TCYJRMM4DK,122,1,225.09,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNRXGMZHYMJXMY3TAN3CHAYTK,123,1,282.9,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNRZHA3HYMJXMY3GKYZQG4ZDK,123,2,273.06,resale,2026-03-30T23:00:00Z
GN6DCMJUHAZDONJQGEZHYMJXMY3GKYZUGY4TK,123,1,231.24,resale,2026-03-30T23:00:00Z
GN6DCMJTGMZTKMJYGAYHYMJXMFRTIODBMEZTK,123,2,286.59,resale,2026-03-30T23:00:00Z
GN6DCMJTGMYDSMRTHA2XYMJXMY3TCZJYGFQTK,123,2,234.93,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMBZHA2HYMJXMY3TCYLBMJTDK,124,1,194.34,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNBYGQ3HYMJXMY3TCZDFGYZTK,124,1,189.42,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TKNJQGEYXYMJXMY3TCYRVGVQTK,125,1,185.73,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCNBQGE3HYMJXMY3TCOLCG44DK,125,1,172.2,resale,2026-03-30T23:00:00Z
GN6DCMJVGUZDKOBYHA4HYMJXMY2GMNRUHE3TK,126,1,184.5,resale,2026-03-30T23:00:00Z
GJ6DC7BXGI,126,1,229.25,standard,2026-03-30T23:00:00Z
GN6DCMJTHEYTCMZZG43XYMJXMY3TCZDEMRQTK,127,2,201.72,resale,2026-03-30T23:00:00Z
GN6DCMBTHA4TQMJQGMYXYMJXMY3TCZBTMU4TK,127,1,158.67,resale,2026-03-30T23:00:00Z
GN6DCMJVGMZTQMBQHA4HYMJXMY3TCOJUMQYTK,128,1,168.51,resale,2026-03-30T23:00:00Z
GJ6DC7BXGA,128,2,255.31,standard,2026-03-30T23:00:00Z
GN6DCMJRGM3DENZVGAZHYMJXMY3TCOLEGIYTK,128,1,157.44,resale,2026-03-30T23:00:00Z
GJ6DC7BWGY,128,2,315.32,standard,2026-03-30T23:00:00Z
GN6DCMJVGU3TIOBXGM2HYMJXMY3TCY3BGE4TK,18,2,298.89,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TANJXGYZHYMJXMY3GGMBTMIYTK,20,4,490.77,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DMNRXG43XYMJXMY3DSYLCME2DK,20,2,553.5,resale,2026-03-30T23:00:00Z
GN6DCMBYGU2DONRQHAZXYMJXMY3TCNLGGEYDK,204,2,73.8,resale,2026-03-30T23:00:00Z
GJ6DC7BXGU,204,2,109.22,standard,2026-03-30T23:00:00Z
GN6DCMJVGU4DANBYGM2HYMJXMY3TAOJSMZTDK,206,1,73.8,resale,2026-03-30T23:00:00Z
GN6DCMJVGQYDKNBQGQ4HYMJXMY2GGM3GMMZDK,206,2,113.16,resale,2026-03-30T23:00:00Z
GN6DCMJTHEYTCNBQGIYXYMJXMY3TCY3GGZQTK,207,1,94.71,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DGMBTGAYHYMJXMY3TCZDCME4TK,207,2,120.54,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TGNRUGU3HYMJXMY3GINDBMU3TK,208,2,190.65,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3DCNRVGQYXYMJXMY3TAYRYGNQTK,208,2,108.24,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TINRQGYZXYMJXMY3GIOLEGFQTK,209,2,135.3,resale,2026-03-30T23:00:00Z
GN6DCMJVGU2TOMJVGAYXYMJXMY3GCMDEGAYDK,20CC,2,1845.0,resale,2026-03-30T23:00:00Z
GN6DCMJVGU3TKOJWGE3XYMJXMY3GKNDDMI4TK,210,2,110.7,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DANJSGY3XYMJXMY3TAYLFG4ZTK,211,2,113.16,resale,2026-03-30T23:00:00Z
GJ6DC7BXGY,211,1,76.32,standard,2026-03-30T23:00:00Z
GN6DCMJVGU3TEOJWG4YXYMJXMY3GIMBTMIYTK,213,1,86.1,resale,2026-03-30T23:00:00Z
GN6DCMJUGUYDSOBVGM4HYMJXMQ3DIOBVGEYDK,214,2,123.0,resale,2026-03-30T23:00:00Z
GJ6DC7BXGY,218,2,76.32,standard,2026-03-30T23:00:00Z
GN6DCMJVGU3DENRUGI3HYMJXMY3TCZDDMI4TK,218,8,269.37,resale,2026-03-30T23:00:00Z
GN6DCMJVGU4DANJTHA4XYMJXMY3TAYLBMU4DK,22,2,578.1,resale,2026-03-30T23:00:00Z
