offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJQGQYDMMBVGY4HYMJXMJSGMMJVME2TK,101,2,296.31,resale,2026-03-25T03:52:27Z
GJ6DC7BVGU,101,1,248.25,standard,2026-03-25T03:52:27Z
GJ6DC7BVGY,101,1,213.65,standard,2026-03-25T03:52:27Z
GJ6DC7BVGM,101,3,352.2,standard,2026-03-25T03:52:27Z
GN6DCMJUG44DMOBUGQ2HYMJXMU2WCOBTMRSTK,102,2,255.85,resale,2026-03-25T03:52:27Z
GN6DCMJVGAYTONRSGE4HYMJXMU2WMMRWGRTDK,102,2,142.8,resale,2026-03-25T03:52:27Z
GJ6DC7BVGU,102,2,248.25,standard,2026-03-25T03:52:27Z
GN6DCMJUG4ZTSMJTGQ3HYMJXMU2WKNTDMFQTK,102,2,357.0,resale,2026-03-25T03:52:27Z
GN6DCMJVGAYTIOBZGU4HYMJXMU2TQMZSGQZTK,102,2,261.8,resale,2026-03-25T03:52:27Z
GJ6DCMBUGAYDAMBSPQ2TG,103,2,334.85,standard,2026-03-25T03:52:27Z
GJ6DC7BVGU,103,1,248.25,standard,2026-03-25T03:52:27Z
GN6DCMJUHE4TMMJUGQ4XYMJXMU2WIMTDGFRDK,103,2,540.26,resale,2026-03-25T03:52:27Z
GN6DCMJUGY3DEMRSGMYXYMJXMQ4TQZBZGNQTK,103,2,226.1,resale,2026-03-25T03:52:27Z
GN6DCMJUHE4TMMJUGUYXYMJXMU2WKNRUMU4DK,103,2,474.81,resale,2026-03-25T03:52:27Z
GN6DCMJSGM2DKNRWG44HYMJXG4ZGGMLBG44TK,105,2,357.0,resale,2026-03-25T03:52:27Z
GN6DCMJVGAYTCMJVGQ4XYMJXMU2WIMDEGE4TK,107,2,189.21,resale,2026-03-25T03:52:27Z
GN6DCMJVGAYTKOJVHEYXYMJXMU2WINJVMNTDK,108,2,160.65,resale,2026-03-25T03:52:27Z
GN6DCMJTGY3TSOJVG4ZXYMJXMU2TINRXMNSTK,110,2,202.3,resale,2026-03-25T03:52:27Z
GJ6DC7BVGY,112,1,213.65,standard,2026-03-25T03:52:27Z
GJ6DEMBYGAYDAMBUPQ2TE,112,1,726.3,standard,2026-03-25T03:52:27Z
GN6DCMJUHE4DKOBSHAZXYMJXMU2DIYZWGUYTK,113,2,315.35,resale,2026-03-25T03:52:27Z
GJ6DCMBUGAYDAMBSPQ2TG,113,2,334.85,standard,2026-03-25T03:52:27Z
GN6DCMJUHAZTAMJRGYZHYMJXMU2DAMTEHFQTK,113,2,422.45,resale,2026-03-25T03:52:27Z
GJ6DC7BVGU,113,3,248.25,standard,2026-03-25T03:52:27Z
GN6DCMJUHA2DQMBVG42HYMJXMUYDKNBRMM3TK,113,2,317.73,resale,2026-03-25T03:52:27Z
GN6DCMJVGAZDQMBVGY3HYMJXMU2WCOLGGQ4TK,113,1,333.2,resale,2026-03-25T03:52:27Z
GJ6DC7BVGM,113,4,352.2,standard,2026-03-25T03:52:27Z
GN6DCMJRGE3DONZUGY3HYMJXMU2TAMDBGI2DK,114,4,292.74,resale,2026-03-25T03:52:27Z
GN6DCMJSGA4TKOBYHEYHYMJXMU2DINJSMEZDK,114,2,238.0,resale,2026-03-25T03:52:27Z
GJ6DC7BVGU,115,2,248.25,standard,2026-03-25T03:52:27Z
GJ6DC7BVGY,115,2,213.65,standard,2026-03-25T03:52:27Z
GN6DCMJVGAYTOMZUHA3XYMJXMU2TIZLEGQZTK,115,2,208.25,resale,2026-03-25T03:52:27Z
GN6DCMJUGMZDCNJVGI4XYMJXMU2DCNZUHA2DK,115,2,273.7,resale,2026-03-25T03:52:27Z
GN6DCMJVGAZDMOBRHAZXYMJXMU2TSZJQHA2DK,116,1,296.31,resale,2026-03-25T03:52:27Z
GJ6DC7BVGY,116,2,213.65,standard,2026-03-25T03:52:27Z
GJ6DC7BVG4,116,1,184.75,standard,2026-03-25T03:52:27Z
GN6DCMJTGM4DQNZRGMYXYMJXMU2WKZLBHBRDK,116,3,218.96,resale,2026-03-25T03:52:27Z
GJ6DC7BVGU,117,4,248.25,standard,2026-03-25T03:52:27Z
GN6DCMJVGAYDSNJVGA3XYMJXMU2TAZBQGBTDK,119,4,177.31,resale,2026-03-25T03:52:27Z
GN6DCMJUHE4DSMBZGU2XYMJXMU2DMMZQGA2TK,119,2,380.8,resale,2026-03-25T03:52:27Z
GN6DCMJVGAYTQOBVHAZXYMJXMU2WINTDGA3DK,119,2,213.01,resale,2026-03-25T03:52:27Z
GN6DCMJVGAZTCNBQGE3XYMJXMU2WGN3FMU2DK,120F,1,1190.0,resale,2026-03-25T03:52:27Z
GN6DCMJVGAZDANBUG44HYMJXMU2TMOBWGQ4DK,120F,3,784.21,resale,2026-03-25T03:52:27Z
GJ6DC7BVGY,122,1,213.65,standard,2026-03-25T03:52:27Z
GJ6DC7BVHA,122W,1,161.65,standard,2026-03-25T03:52:27Z
GJ6DC7BVGU,123,2,248.25,standard,2026-03-25T03:52:27Z
GJ6DC7BVGY,124,1,213.65,standard,2026-03-25T03:52:27Z
GJ6DCMBUGAYDAMBSPQ2TE,124,1,767.85,standard,2026-03-25T03:52:27Z
GN6DCMJVGAYDEOJWGUYXYMJXMU2WGYZVGVSTK,124,2,190.4,resale,2026-03-25T03:52:27Z
GJ6DC7BWHA,BL8,2,259.8,standard,2026-03-25T03:52:27Z
GJ6DC7BVGY,EBW,2,213.65,standard,2026-03-25T03:52:27Z
GJ6DC7BVGQ,WBW,2,461.85,standard,2026-03-25T03:52:27Z
