offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVGI,101,1,874.05,standard,2026-03-29T02:52:20Z
GJ6DCMBUGAYDAMBSPQ2TG,101,1,301.4,standard,2026-03-29T02:52:20Z
GN6DCMJQGQYDMMJSGA2XYMJXMEZDAMBZMJTDK,101,2,296.45,resale,2026-03-29T02:52:20Z
GJ6DC7BVGY,101,1,219.4,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DGOBUGA3XYMJXMYYWKNLBMZSDK,102,2,181.5,resale,2026-03-29T02:52:20Z
GJ6DC7BVGU,102,2,248.25,standard,2026-03-29T02:52:20Z
GN6DCMJVGAYTEOJUGA4HYMJXMYYWMODDMZRDK,102,2,574.75,resale,2026-03-29T02:52:20Z
GJ6DC7BVGM,102,1,317.55,standard,2026-03-29T02:52:20Z
GJ6DCMBUGAYDAMBSPQ2TG,103,5,301.4,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,103,1,248.25,standard,2026-03-29T02:52:20Z
GN6DCMJVGQZTSNZQGYZXYMJXMYYWEZBSMFTDK,103,1,175.45,resale,2026-03-29T02:52:20Z
GJ6DC7BVGY,103,1,219.4,standard,2026-03-29T02:52:20Z
GJ6DC7BVGM,103,1,317.55,standard,2026-03-29T02:52:20Z
GN6DCMJTGE4DANZZG44HYMJXMYYWMYTCMYZDK,103,2,175.45,resale,2026-03-29T02:52:20Z
GN6DCMJUHE3TAMBYGQZHYMJXMUZWMOBQMIYDK,103F,2,1860.98,resale,2026-03-29T02:52:20Z
GJ6DC7BVGY,104,5,219.4,standard,2026-03-29T02:52:20Z
GJ6DC7BVG4,104,2,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DAMRUGQYHYMJXMYYWGOBZGM4DK,104,1,192.39,resale,2026-03-29T02:52:20Z
GJ6DC7BVGU,104,1,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,105,3,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVG4,105,5,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJQHAZDSNBVGIYHYMJXMYZDCMJYMI2DK,105,4,164.56,resale,2026-03-29T02:52:20Z
GN6DCMJUGIZTQMJYGQ4XYMJXMYYWCYRZGJRDK,105,2,127.05,resale,2026-03-29T02:52:20Z
GN6DCMJVGQZTMNRQGYZHYMJXMYYWCMZQMNQTK,107,2,102.85,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DGNRSGQ4HYMJXMYYWKMTBGFQTK,108,2,242.0,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DGNRRGM2XYMJXMYZDCNBRGNTDK,108,1,121.0,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DANBVGQ3HYMJXMYZDCMLCGYYTK,108,2,108.9,resale,2026-03-29T02:52:20Z
GN6DCMJVGQZTEMRSGYZHYMJXMYYTOYRYGRSTK,108,2,187.55,resale,2026-03-29T02:52:20Z
GN6DCMJVGM4DMMZQHAYHYMJXMYZDAZJSGQ2TK,108,2,98.01,resale,2026-03-29T02:52:20Z
GN6DCMJVGM4DMMZQHAZHYMJXMYZDCOJRGJRTK,108,2,98.01,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DKNBQGYZHYMJXMYZDCNBVGVSTK,108,2,139.15,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DINJYGQ3XYMJXMYYWKZBTGM2TK,108F,2,3025.0,resale,2026-03-29T02:52:20Z
GN6DCMJUHAYDENZQHE2HYMJXMUYDKMTFGZSDK,108F,2,1512.5,resale,2026-03-29T02:52:20Z
GJ6DC7BVG4,109,2,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJVGQYTSNZWGQ3XYMJXMYYTCMJVGQYDK,109,2,186.34,resale,2026-03-29T02:52:20Z
GN6DCMJVGQZTOOJRHAZHYMJXMYYWCZRVGIZTK,109,2,127.05,resale,2026-03-29T02:52:20Z
GN6DCMJVGQYTCMBTGA4HYMJXMYZDCM3EHE4TK,109,2,121.0,resale,2026-03-29T02:52:20Z
GJ6DC7BVHE,110,2,150.1,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,111,10,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVG4,111,2,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJTHA3DAMBYGEYXYMJXMYYWKMBXGRTDK,111,2,151.25,resale,2026-03-29T02:52:20Z
GN6DCMJVGM3TSNBTGI2XYMJXMYZDEZBVHEYTK,111,1,54.45,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DKOJYGMYHYMJXMYYWMYRWMU4TK,111,1,131.89,resale,2026-03-29T02:52:20Z
GN6DCMJVGM2TQMBRHE3XYMJXMYZDAZJUMIZDK,111W,1,163.35,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DQMRSHEZHYMJXMYZDAZJZMQYDK,111W,2,78.65,resale,2026-03-29T02:52:20Z
GN6DCMJTGQZDEOBVG44XYMJXMYZDCOBZHE3TK,112,2,108.9,resale,2026-03-29T02:52:20Z
GN6DCMJVGQZTMMRWGUYXYMJXMYYWCMBYHA4DK,112,2,145.2,resale,2026-03-29T02:52:20Z
GJ6DEMBYGAYDAMBUPQ2TE,112,1,769.05,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,112,3,248.25,standard,2026-03-29T02:52:20Z
GJ6DCMBUGAYDAMBSPQ2TG,113,4,301.4,standard,2026-03-29T02:52:20Z
GN6DCMJVGQZDSMRWGEYHYMJXMYZDCMBQMIYTK,113,4,205.7,resale,2026-03-29T02:52:20Z
GN6DCMJVGQZTQNBRHA2XYMJXMYYWEM3GMM2TK,113,2,240.79,resale,2026-03-29T02:52:20Z
GJ6DC7BVGU,113,3,248.25,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DMNBQGA2XYMJXMYZDAZBYGM4DK,113,2,145.2,resale,2026-03-29T02:52:20Z
GJ6DC7BVGY,113,1,219.4,standard,2026-03-29T02:52:20Z
GJ6DC7BVGM,113,1,317.55,standard,2026-03-29T02:52:20Z
GN6DCMJVGQZDEMJQGQYXYMJXMYZDEOLEHA4TK,114,2,181.5,resale,2026-03-29T02:52:20Z
GJ6DC7BVGM,114,6,317.55,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,114,7,248.25,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DMNRUG43HYMJXMYZDAMBRMI4DK,114,2,370.26,resale,2026-03-29T02:52:20Z
GN6DCMJVGAZDEMZQHEZXYMJXMYZDEOJWMQ2DK,114F,2,1960.2,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DSNBQHE3HYMJXMYZDCOLEMM2TK,115,4,121.0,resale,2026-03-29T02:52:20Z
GJ6DCMBUGAYDAMBSPQ2TG,115,4,301.4,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DCNRUGA2XYMJXMYZDCNBQGJSDK,115,2,121.0,resale,2026-03-29T02:52:20Z
GJ6DC7BVGU,115,3,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVGY,115,2,219.4,standard,2026-03-29T02:52:20Z
GJ6DC7BVGM,115,2,317.55,standard,2026-03-29T02:52:20Z
GN6DCMJUGU4DGNRUGA4HYMJXMYZDEOJWMI4TK,115,2,163.35,resale,2026-03-29T02:52:20Z
GJ6DC7BVGY,116,6,219.4,standard,2026-03-29T02:52:20Z
GN6DCMJVGQZTMNZSGA3XYMJXMYZDCNZWMVSDK,116,2,121.0,resale,2026-03-29T02:52:20Z
GJ6DC7BVG4,116,2,190.55,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,116,3,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,117,7,248.25,standard,2026-03-29T02:52:20Z
GJ6DC7BVGY,117,3,219.4,standard,2026-03-29T02:52:20Z
GN6DCMJVGQZTQNRWG42XYMJXMYYWENJSMFRDK,117,2,181.5,resale,2026-03-29T02:52:20Z
GJ6DC7BVG4,117,3,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJVGE3DSNRTHA2XYMJXMYYGKMZTMIZDK,117F,2,1089.0,resale,2026-03-29T02:52:20Z
GJ6DC7BVG4,117W,2,190.55,standard,2026-03-29T02:52:20Z
GJ6DC7BVGU,118,2,248.25,standard,2026-03-29T02:52:20Z
GN6DCMJVGQ2DQNZYGQZHYMJXMYZDCM3EGE2TK,119,2,217.8,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DIMZZG4YHYMJXMYYWKYRZMZSTK,119,1,134.31,resale,2026-03-29T02:52:20Z
GN6DCMJVGM3TSNBTGMZHYMJXMYYTEMTFGQYDK,119,1,58.08,resale,2026-03-29T02:52:20Z
GN6DCMJVGQ2DKOJRGQYXYMJXMYZDEZBTGYYDK,119,1,58.08,resale,2026-03-29T02:52:20Z
GJ6DC7BVG4,119,1,190.55,standard,2026-03-29T02:52:20Z
GN6DCMJVGEYTKMJQGA2XYMJXMYZDAZLEHA4TK,120,2,131.89,resale,2026-03-29T02:52:20Z
