offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGM2DSMRZGEYHYMJXMVSWCNRTGEZDK,102,1,176.18,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3DSMBYGQYHYMJXMVRTQMJSMVRTK,102,1,151.88,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTSNBSHAYHYMJXMVSTIYLCGBRDK,103,2,296.46,resale,2026-03-27T23:13:59Z
GN6DCMJVGM3DAMRRGQYXYMJXMVSWMNBRMFSDK,103,1,182.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINBYGE3HYMJXMVSWGOJUHEZTK,105,2,1458.0,resale,2026-03-27T23:13:59Z
GN6DCMJUHAYDGMRQG4YXYMJXMVSDSMRVMUZDK,105,2,364.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DQNJYGE2HYMJXMVSTSZLCGFSDK,110,2,227.21,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDOOBYGYYHYMJXMVSWGNLFGY3TK,112,2,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJUHA4DAOJYHE3XYMJXMVSTQNBWGQ4DK,112,1,139.73,resale,2026-03-27T23:13:59Z
GN6DCMBTGAYDGNJUGQYHYMJXMVQWINLCMVSTK,113,1,277.02,resale,2026-03-27T23:13:59Z
GN6DCMJSGU2TGMBRGEZHYMJXME3WKYZRG44TK,113,2,315.9,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGOJZGI3HYMJXMVSWMNTFGNSDK,113,2,194.4,resale,2026-03-27T23:13:59Z
GN6DCMJTG4ZTANJSGAZHYMJXMNTDMZRYGY4TK,114,2,592.92,resale,2026-03-27T23:13:59Z
GJ6DC7BVGQ,114,1,390.2,standard,2026-03-27T23:13:59Z
GN6DCMJVGA3DQMRUGAZXYMJXMVSTQM3DGY3DK,114,3,321.98,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDMOJRHA4HYMJXMVSDSNBYGMZDK,115,2,315.9,resale,2026-03-27T23:13:59Z
GJ6DC7BVGU,116,2,265.2,standard,2026-03-27T23:13:59Z
GN6DCMJVGA4TANZUHAYXYMJXMVSTSZJUHFRDK,116,2,425.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGI2TIMJTGQ3HYMJXMVRTIMTEMRSDK,116,2,641.52,resale,2026-03-27T23:13:59Z
GN6DCMJVGE3DMMJXGA2HYMJXMVSTMNDEMM4DK,117,2,358.43,resale,2026-03-27T23:13:59Z
GN6DCMJVGAZDANBWGIYXYMJXMU2TMOBXGM4DK,118,1,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJUGI2TMMZRGU2XYMJXMU4GKNZQG44DK,204,2,164.03,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDIMZYGQ2HYMJXMVSWGOBRGFSDK,205,1,95.99,resale,2026-03-27T23:13:59Z
GN6DCMJUGAZDEMJXGQZXYMJXMVSWEY3FMU3DK,206,2,145.8,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3TAOBVGMYXYMJXMVRTQNRTGU2DK,206,1,225.99,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDONRXGUYXYMJXMVSDSN3FGYYTK,207,2,212.63,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3TQMJVHAYHYMJXMVSWIOBYMZSTK,210,1,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJUGU4DKMBVHEZXYMJXMQ4WKMRXMQ2DK,218,1,193.19,resale,2026-03-27T23:13:59Z
GJ6DC7BWGE,220,1,128.7,standard,2026-03-27T23:13:59Z
