offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BVHA,101,1,133.7,standard,2026-03-27T23:13:59Z
GN6DCMJVGM2DSMRZGEYHYMJXMVSWCNRTGEZDK,102,1,176.18,resale,2026-03-27T23:13:59Z
GN6DCMJRGMZDCNZUG42XYMJXMVSWGM3FMQYDK,102,2,171.32,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TOOJTG4ZXYMJXMVSWKZRWGRSTK,102,2,183.47,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3DSMBYGQYHYMJXMVRTQMJSMVRTK,102,1,151.88,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTSNBSHAYHYMJXMVSTIYLCGBRDK,103,2,296.46,resale,2026-03-27T23:13:59Z
GN6DCMJVGM3DAMRRGQYXYMJXMVSWMNBRMFSDK,103,1,182.25,resale,2026-03-27T23:13:59Z
GN6DSNJUG42TIMBQGN6DCN3FMVTDMZJQMI2Q,104,2,247.86,resale,2026-03-27T23:13:59Z
GN6DCMJSHEYTCNJXGIYHYMJXME3WKYZWHEZDK,104,2,486.0,resale,2026-03-27T23:13:59Z
GN6DCMJVGM3DAMJTG4YXYMJXMVSWMMZZGZRDK,105,1,151.88,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINBYGE3HYMJXMVSWGOJUHEZTK,105,2,1458.0,resale,2026-03-27T23:13:59Z
GN6DCMJVGA4DAMBUGQ2XYMJXMVRGMM3BGRSTK,105,2,425.25,resale,2026-03-27T23:13:59Z
GN6DCMJUHAYDGMRQG4YXYMJXMVSDSMRVMUZDK,105,2,364.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGNRRGAZHYMJXMVSWMMRQGYZDK,106,2,495.72,resale,2026-03-27T23:13:59Z
GJ6DC7BVGU,107,1,265.2,standard,2026-03-27T23:13:59Z
GN6DCMJVGE4DINBYHAYXYMJXMVSWIMDDMQZDK,107,2,206.55,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTIMBTG42XYMJXMVSWKMZVG4YTK,108,2,212.63,resale,2026-03-27T23:13:59Z
GN6DCMJSGA3TEOBTGA4HYMJXMVSWMMLDMZSDK,109,2,176.18,resale,2026-03-27T23:13:59Z
GN6DCMJVGA4TCNZVGM3XYMJXMVSDOOBWGUZDK,109,2,243.0,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGOBYGM3XYMJXMVSWKZRXHEZTK,110,2,183.47,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DQNJYGE2HYMJXMVSTSZLCGFSDK,110,2,227.21,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TKNRSGM3XYMJXMVSWIMRSMIZTK,111,2,213.84,resale,2026-03-27T23:13:59Z
GN6DCMJUGU4DKMRWGM3XYMJXMVRWIMZUGY3DK,112,2,279.45,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDOOBYGYYHYMJXMVSWGNLFGY3TK,112,2,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJUGM2DIMJTGQYHYMJXMU2GEMLCHEZTK,112,1,240.57,resale,2026-03-27T23:13:59Z
GN6DCMJUHA4DAOJYHE3XYMJXMVSTQNBWGQ4DK,112,1,139.73,resale,2026-03-27T23:13:59Z
GN6DCMJSGUZDGMBQGIZXYMJXME3WKYZTHE3DK,112,2,303.75,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TKNBRGY2HYMJXMVSWKNLCGU4TK,113,1,95.99,resale,2026-03-27T23:13:59Z
GN6DCMBTGAYDGNJUGQYHYMJXMVQWINLCMVSTK,113,1,277.02,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TMMZQGQ2XYMJXMVSWMMRUGY2DK,113,2,329.27,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGNJTGA3XYMJXMVSWMNLBGU3DK,113,1,171.32,resale,2026-03-27T23:13:59Z
GN6DCMJSGU2TGMBRGEZHYMJXME3WKYZRG44TK,113,2,315.9,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGOJZGI3HYMJXMVSWMNTFGNSDK,113,2,194.4,resale,2026-03-27T23:13:59Z
GN6DCMJTG4ZTANJSGAZHYMJXMNTDMZRYGY4TK,114,2,592.92,resale,2026-03-27T23:13:59Z
GN6DCMJSHA2DQMRQGIZHYMJXMVSWMMRXGM4DK,114,2,371.79,resale,2026-03-27T23:13:59Z
GN6DCMJSHE2DGMRYGY4HYMJXMVSWKYJZGFSDK,114,2,182.25,resale,2026-03-27T23:13:59Z
GN6DCMJUGA4DGOBQGY2XYMJXMVSTKMLFHAYDK,114,2,363.29,resale,2026-03-27T23:13:59Z
GN6DCMBTGAYDGNJUGQ2HYMJXMVQWINJXMZSTK,114,1,335.34,resale,2026-03-27T23:13:59Z
GJ6DC7BVGQ,114,1,390.2,standard,2026-03-27T23:13:59Z
GJ6DC7BVGU,114,4,265.2,standard,2026-03-27T23:13:59Z
GN6DCMJUGI2DEMRTGIZXYMJXMM4WCOJQMNSTK,114,2,1215.0,resale,2026-03-27T23:13:59Z
GN6DCMJUGE3TSNRZHEYXYMJXMVSWMMLDMIYTK,114,2,465.35,resale,2026-03-27T23:13:59Z
GN6DCMJVGA3DQMRUGAZXYMJXMVSTQM3DGY3DK,114,3,321.98,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TAOBQHAZHYMJXMVSWKNJVGVRDK,115,2,273.38,resale,2026-03-27T23:13:59Z
GN6DCMJUGA4DGOJRG44XYMJXMVSTIZTFHA4DK,115,2,326.84,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDMOJRHA4HYMJXMVSDSNBYGMZDK,115,2,315.9,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TONJVHA3XYMJXMVSWKMBTMVRDK,115,1,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGA4TANZUHAYXYMJXMVSTSZJUHFRDK,116,2,425.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGI2TIMJTGQ3HYMJXMVRTIMTEMRSDK,116,2,641.52,resale,2026-03-27T23:13:59Z
GJ6DC7BVGU,116,2,265.2,standard,2026-03-27T23:13:59Z
GN6DCMJUGUYTGNJYGU4HYMJXMQ3DINTBHBSDK,117,2,637.88,resale,2026-03-27T23:13:59Z
GN6DCMJVGE3DMMJXGA2HYMJXMVSTMNDEMM4DK,117,2,358.43,resale,2026-03-27T23:13:59Z
GN6DSNZTHA4DQOJQGR6DCN3FMVTDON3CGE2Q,117,2,178.61,resale,2026-03-27T23:13:59Z
GN6DCMJVGEZDAOBXGQ2XYMJXMU4GEYJTHBSTK,117,2,273.38,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TANZYGYZHYMJXMVSWCZRRMNTDK,117,2,262.44,resale,2026-03-27T23:13:59Z
GN6DCMJVGAZDANBWGIYXYMJXMU2TMOBXGM4DK,118,1,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJVGIZDCMRWGEYXYMJXMVSWGYRYG5STK,118,2,176.18,resale,2026-03-27T23:13:59Z
GN6DCMJVGM3DANJWHEYHYMJXMVSWMNTGHBQTK,119,2,114.21,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TQMRWGU3XYMJXMVSWKNJYGA3DK,119,2,170.1,resale,2026-03-27T23:13:59Z
GN6DSNZUGIYTQMJWGF6DCN3EMY4DQNLGGI2Q,120,2,425.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGIZTKMRZGY4HYMJXMVSWKM3FMQYDK,120,2,182.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGOJRGY4HYMJXMVSWGNDFGRRDK,204,1,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJUGI2TMMZRGU2XYMJXMU4GKNZQG44DK,204,2,164.03,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DKNBXHE2XYMJXMVSWIZDGHEYDK,204,1,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJVGE3DQMJUGA3XYMJXMVSWGY3DGIYTK,205,2,182.25,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDIMZYGQ2HYMJXMVSWGOBRGFSDK,205,1,95.99,resale,2026-03-27T23:13:59Z
GN6DCMJUGAZDEMJXGQZXYMJXMVSWEY3FMU3DK,206,2,145.8,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3TAOBVGMYXYMJXMVRTQNRTGU2DK,206,1,225.99,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDONRXGUYXYMJXMVSDSN3FGYYTK,207,2,212.63,resale,2026-03-27T23:13:59Z
GJ6DC7BWGA,209,1,194.7,standard,2026-03-27T23:13:59Z
GN6DCMJVGMZTAMBVGY3HYMJXMVSWIOJYMFRTK,210,2,127.58,resale,2026-03-27T23:13:59Z
GN6DCMJVGE2TQOJVGMZXYMJXMVQTAOBUMRRTK,210,2,168.89,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3TQMJVHAYHYMJXMVSWIOBYMZSTK,210,1,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJVGE4TSOBVGE2HYMJXMVSWMNLDMY3DK,211,2,72.9,resale,2026-03-27T23:13:59Z
GN6DCMJUGU4DKMBVHEZXYMJXMQ4WKMRXMQ2DK,218,1,193.19,resale,2026-03-27T23:13:59Z
GJ6DC7BWGE,220,1,128.7,standard,2026-03-27T23:13:59Z
GN6DCMJUGQ4DMOBVG4ZXYMJXMVSWCYJSGQ2DK,221,1,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINZWGYZHYMJXMVSWGYTDG4ZDK,221,1,94.77,resale,2026-03-27T23:13:59Z
GN6DCMJUGQ4DMOBVG42HYMJXMVSWCYRUGNSTK,221,1,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DSMJTGI3HYMJXMVSWCNDFGRQTK,221,1,121.5,resale,2026-03-27T23:13:59Z
GJ6DC7BWGA,222,1,194.7,standard,2026-03-27T23:13:59Z
GN6DCMJVGEZDAMJRGY4HYMJXMU4GEMZTMVSTK,223,1,298.89,resale,2026-03-27T23:13:59Z
GN6DCMJVGIZTGMJTGA4XYMJXMVSWMNBYGYYTK,223,2,121.5,resale,2026-03-27T23:13:59Z
GN6DCMBZHE2DONJYGY3XYMJXMVSDOOJVGVQTK,224,2,194.4,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DONBWGA2XYMJXMVSTSMRWMJSTK,225,2,185.9,resale,2026-03-27T23:13:59Z
GN6DCMJVGI2TKOJUGU3XYMJXMVRTIZRWGAZDK,225,2,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJVGM3DAMJTGI2XYMJXMVSWMNLEGVTDK,225,3,125.15,resale,2026-03-27T23:13:59Z
GN6DCMJVGEZDGNZRGIZXYMJXMU4GIMZWGI3DK,226,1,176.18,resale,2026-03-27T23:13:59Z
GN6DCMJVGIYDCNRQGYZHYMJXMVSWMMRYMZRTK,226,2,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DOMRSGI3HYMJXMVSWIZBXG42DK,301,2,70.47,resale,2026-03-27T23:13:59Z
GN6DCMJUGQ4DMMRTGUZHYMJXMVRTMZBXHA4TK,301,2,109.35,resale,2026-03-27T23:13:59Z
GN6DCMJVGMYDQNJYHEZHYMJXMVSGCMLCMJTDK,301,2,88.7,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DONZVHE3HYMJXMVSTSNTCHE4DK,301,2,88.7,resale,2026-03-27T23:13:59Z
GN6DCMJVGEZDSMRTGY4XYMJXMVSWKNRYMFSDK,301,2,61.97,resale,2026-03-27T23:13:59Z
GN6DCMJUHEYDKOBUGEYHYMJXMUZDCY3FMY3DK,301,2,97.2,resale,2026-03-27T23:13:59Z
GN6DCMJVGE3TKMRQGQ4XYMJXMVSWMMJSHFTDK,301,4,110.57,resale,2026-03-27T23:13:59Z
GN6DCMJVGIZDIMBSGAYHYMJXMVRGGNJZGM2TK,301,4,91.13,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINRVGQYHYMJXMVSWGYLDGQ4DK,301,2,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TQMZUGYYXYMJXMVSWKYJQGM2DK,302,4,61.97,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTKNRRGMZHYMJXMVSWKNZXMIYTK,302,1,71.69,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGNBSGIYHYMJXMVSWGMJWMZRTK,302,3,122.72,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DINRXG42XYMJXMVSWKYZQGVSDK,302,2,55.89,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGOBVGY2HYMJXMVSWGNBTGM2TK,302,1,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJVGE4TQMZXGQZHYMJXMVSWGZRQMY3DK,302,2,54.68,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZDENJWHAYXYMJXMVSGIOJZGZSDK,302,2,110.57,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TONRWGAYHYMJXMVSWKMDGGFRDK,303,2,65.61,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TANZUGM4XYMJXMVSWCZJQGRQTK,303,2,76.55,resale,2026-03-27T23:13:59Z
GN6DCMJRGM2DSMZRGAZXYMJXMVSTCZBXGIZTK,303,2,66.83,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTSNJSGAYXYMJXMVSWIOBUGBSDK,304,2,78.98,resale,2026-03-27T23:13:59Z
GN6DCMJVGI2TIOJRGM3XYMJXMVRTIOBUMZRTK,304,2,87.48,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TOOBQGI4HYMJXMVSWKN3BMI4TK,304,4,60.75,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINZZHA2HYMJXMVSWGYRZGU3TK,307,2,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DSMBQGE3XYMJXMVSWCMZVHEYDK,308,1,109.35,resale,2026-03-27T23:13:59Z
GN6DCMBTHAYTCMZRGY4XYMJXME3WKYZTG43TK,309,2,461.7,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TQOJYHAYXYMJXMVSWKYJRMZQTK,309,1,157.95,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TQNBYGU4HYMJXMVSWKNRZMM4DK,309,2,93.56,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTSNZUHE2XYMJXMVSWMM3FGNSDK,310,2,74.12,resale,2026-03-27T23:13:59Z
GN6DCMJVGE4TGNZXGY2HYMJXMVQWINTGGY2TK,314,1,121.5,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZDENZVGQZXYMJXMVSTQOBXMNRTK,316,1,78.98,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TGNBRHE2HYMJXMVSWKMRZGRSTK,317,2,81.41,resale,2026-03-27T23:13:59Z
GN6DCMJVGI4TGNJQGEZXYMJXMVSDEOLEMU3TK,317,1,109.35,resale,2026-03-27T23:13:59Z
GN6DCMJSHE2DKNRRGU2HYMJXME3WKYTBMM3TK,318,2,91.13,resale,2026-03-27T23:13:59Z
GN6DCMJVGI2TQMRYGY3HYMJXMVSWGOJVMRTDK,319,2,60.75,resale,2026-03-27T23:13:59Z
GN6DCMJVGA3DSNZSGI2HYMJXMU3TCMJRHE3DK,319,2,95.99,resale,2026-03-27T23:13:59Z
GN6DCMJTHAYDANZVGE2XYMJXMVSDQNBQGNRDK,319,2,75.33,resale,2026-03-27T23:13:59Z
GN6DCMJUHEYTENZQHA4HYMJXMUZDKN3FHFSDK,319,1,103.28,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TCNZWGA4HYMJXMVSWMNZWMNSTK,320,2,82.62,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TMNZWHAYHYMJXMVSWIYJZG44TK,320,1,60.75,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TONBXGAZHYMJXMVSWMMRSMFSTK,320,2,53.46,resale,2026-03-27T23:13:59Z
GN6DCMJVGEZDKMJXHE2HYMJXMVSWMM3CG5TDK,321,2,97.2,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTIMZZGQZHYMJXMVSTEYTEMIZTK,321,2,85.05,resale,2026-03-27T23:13:59Z
GN6DCMJUGMYTGNRWHAYXYMJXMVSWKNRVGQZTK,321,2,75.33,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TONZUGIZXYMJXMVSWKMJSMZQTK,321,2,59.54,resale,2026-03-27T23:13:59Z
GN6DCMJVGI3TQOBSGU3HYMJXMVRWEN3CGM4DK,322,2,92.34,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2DCMZVHE2HYMJXMVSTKZJQGRSDK,323,2,97.2,resale,2026-03-27T23:13:59Z
GN6DCMJUGY4DGOJZGQYXYMJXMRQTIMBWGUZDK,323,2,151.88,resale,2026-03-27T23:13:59Z
GN6DSOBUGI3TQNJUHB6DCN3BG5SWGMZWMQ2Q,323,2,132.44,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTAMBVGY4HYMJXMVSWIOLBMVTDK,325,2,85.05,resale,2026-03-27T23:13:59Z
GN6DCMJVGI4DCOJXHA4HYMJXMVRWGZJWMRRDK,326,2,151.88,resale,2026-03-27T23:13:59Z
GN6DCMJVGIYDKMJVGY3HYMJXMVRDINTGHFSTK,326,2,95.99,resale,2026-03-27T23:13:59Z
GN6DCMJTGQ4DIMRRHA3HYMJXME3WKYZVMU2TK,326,2,91.13,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTENJTGUYXYMJXMVSTCYTFGI3TK,326,2,77.76,resale,2026-03-27T23:13:59Z
GN6DCMJUHA2DEOBTGI3HYMJXMUYDKNBTHBSTK,327,2,188.33,resale,2026-03-27T23:13:59Z
GN6DCMJTGY4DENRRGAYXYMJXMVQWEYTDGBSTK,327,2,75.33,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TINBWHE3XYMJXMVSWKNLCG42TK,328,2,69.26,resale,2026-03-27T23:13:59Z
GN6DCMJVGA2DANBVGEYXYMJXMVSWMMTEMJRTK,328,5,60.75,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TOMJYHEYXYMJXMVSWKNRSGY3DK,328,2,55.89,resale,2026-03-27T23:13:59Z
GN6DCMBVHEYDQMBZGA4HYMJXMVSWKNJUME3TK,329,4,75.33,resale,2026-03-27T23:13:59Z
GN6DCMJVGM2TOOBQGI2XYMJXMVSWKN3EME3DK,329,4,61.97,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTQNZSGIZXYMJXMVSTSNRRGA2TK,329,2,89.91,resale,2026-03-27T23:13:59Z
GN6DCMJTGY3DOOBYGQ4HYMJXMVSTOOJSMQ3TK,329,2,85.05,resale,2026-03-27T23:13:59Z
GN6DCMJQHE3DKMRRGEZHYMJXMVSWMMZRMZRTK,330,5,66.83,resale,2026-03-27T23:13:59Z
GN6DCMJTGMZDKOBZGY2HYMJXMVSWENLBGRTDK,LT201,2,243.0,resale,2026-03-27T23:13:59Z
GJ6DC7BWGM,LT202,1,174.7,standard,2026-03-27T23:13:59Z
GN6DCMJVGM2TMNBRGY3HYMJXMVSWIN3GGFSDK,LT202,2,243.0,resale,2026-03-27T23:13:59Z
GN6DCMJRGE3DEMBZGQ4HYMJXME3WKYRZMY3TK,LT214,1,230.85,resale,2026-03-27T23:13:59Z
GN6DCMJVGMZTMMRTGU2XYMJXMVSTGNTCMZRDK,LT216,3,132.44,resale,2026-03-27T23:13:59Z
GJ6DC7BWGM,LT229,1,174.7,standard,2026-03-27T23:13:59Z
GJ6DC7BWGM,LT230,1,174.7,standard,2026-03-27T23:13:59Z
