offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMBWGM4DGNZUGA2XYMJXMY2DINDEMYYDK,101,2,151.88,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ2DSOJQGM3XYMJXMYZDCYZWGYZDK,101,2,253.94,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ2DKOBYGM2HYMJXMY2DINRVMM4DK,102,2,,resale,2026-03-29T22:30:00Z
GN6DCMJVGUYDGNRTHE4HYMJXMY2DGYJRGBSTK,102,2,176.18,resale,2026-03-29T22:30:00Z
GN6DCMJUHE2TMOJXGU3XYMJXMVRTKYJSHEZTK,102,2,233.28,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ4TQOBWGM3HYMJXMY2DAYZWG5STK,102,1,157.95,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ4TQOBWGM3HYMJXMY2DAYZWG5STK,102,1,157.95,resale,2026-03-29T22:30:00Z
GN6DCMBTGAYTKOJUGMYXYMJXMYZWMMLGGE4TK,102,2,151.88,resale,2026-03-29T22:30:00Z
GN6DCMJVGUYDONZZGA4HYMJXMY2DINBUMY2DK,102,2,200.48,resale,2026-03-29T22:30:00Z
GN6DCMJVGUYDGNZTGQ3XYMJXMY2DGYLDMUYTK,102,2,195.62,resale,2026-03-29T22:30:00Z
GN6DCMJTHAYTGMRYGUZXYMJXMYZTQOJYMRQTK,103,2,291.6,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ3TKNJYHE2HYMJXMYZTENBZHBSTK,103,2,243.0,resale,2026-03-29T22:30:00Z
GN6DCMJUGM4TCNRTGU2HYMJXMY2DIMBWGA3TK,103,2,143.37,resale,2026-03-29T22:30:00Z
GN6DCMJVGUYDINBXGU4HYMJXMY2DENRUMJSTK,104,2,243.0,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ4DCNBWGE4XYMJXMY2DGMDGME3TK,105,2,364.5,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ4TENRSHA3HYMJXMYZWIZTCGA4DK,105,2,394.88,resale,2026-03-29T22:30:00Z
GN6DCMJUHAZTSOBUGYYXYMJXMVSWKZJSME4DK,105,2,668.25,resale,2026-03-29T22:30:00Z
GN6DCMJUGIZTMMJQHEYXYMJXMY2DGY3CMUYTK,105,4,334.13,resale,2026-03-29T22:30:00Z
GN6DCMJVGEZTAMJVGAYHYMJXMU4TAYRRGI2DK,105,2,729.0,resale,2026-03-29T22:30:00Z
GN6DCMJVGUYDGMBTGM3HYMJXMY2DCODFMJQTK,106,2,902.75,resale,2026-03-29T22:30:00Z
GN6DCMJVGQ4TEMZSGU2HYMJXMYZWCYLGMQ4TK,106,2,601.43,resale,2026-03-29T22:30:00Z
