offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGE4TQNRTGUYXYMJXMY3TAMLGMUYDK,101,3,147.02,resale,2026-03-31T00:30:00Z
GN6DCMJVGEYTANJVGQ3XYMJXMY3TEOLDGMYTK,101,5,103.28,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDMNJUGUYHYMJXMY3TEMLGGRRDK,102,2,102.06,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYTANRZGI3HYMJXMY3GIYZUGIZDK,102,2,85.05,resale,2026-03-31T00:30:00Z
GN6DCMJUHA2DANRWHE3HYMJXMUYDKNBRGQZDK,102,2,200.48,resale,2026-03-31T00:30:00Z
GN6DCMJVGU4DAOJSGI4XYMJXMY3TAY3CGI4DK,102,2,139.73,resale,2026-03-31T00:30:00Z
GN6DCMJUHA3TQMRXGUYHYMJXMY2WCNLFGQ4DK,102,4,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TMNBTGAZHYMJXMY3GKOBYGQ2DK,102,2,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ2TCNRSGM2XYMJXMYZDEYZTGEYDK,103,2,173.75,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TIMRQHE4XYMJXMY3DEMZVMFTDK,103,2,154.31,resale,2026-03-31T00:30:00Z
GN6DCMJUG4ZTQMZXGYZXYMJXMUYDKNJTGY4TK,105,1,551.61,resale,2026-03-31T00:30:00Z
GN6DCMJUGEZDGOJTHAZXYMJXMY3GGMZTMU3TK,105,4,334.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DAMRSGEYXYMJXMY3TIMBRGYZDK,105,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGE3DSOJTGI3XYMJXMY2WEM3EMJRDK,106,2,303.75,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TSMRZHAYXYMJXMY3GKYJRGBSTK,106,2,212.63,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TIMBSHA3HYMJXMY3GKNTFG4ZDK,107,2,759.38,resale,2026-03-31T00:30:00Z
GN6DCMJUGMZTQMZVGUZHYMJXMY3GEOJWGFSDK,107,2,486.0,resale,2026-03-31T00:30:00Z
GN6DCMJTGAYTOOBUGU3HYMJXMY3DSZJWHE4DK,107,4,151.88,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ3TEMRQHEYXYMJXMY3TCNRRHEYTK,107,2,216.27,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TMOJSGI4XYMJXMY3TGZDEMZRTK,107,2,142.16,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYTGOJSHE4HYMJXMY3TCNTCMM4TK,108,2,102.06,resale,2026-03-31T00:30:00Z
GN6DCMBVGY2DKNJXGE3XYMJXME3WKODCGE2TK,109,4,303.75,resale,2026-03-31T00:30:00Z
GN6DCMJUG42DSNZZGA2HYMJXMY3GKN3FG43TK,109,2,85.05,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYDGOJTGEYHYMJXMY3TAYZVHE2TK,109,2,97.2,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DANZUG4ZXYMJXMY3DMN3CGNSTK,110,2,115.43,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ3TEMBXHA2HYMJXMY3DMYJTGZSDK,111,2,164.03,resale,2026-03-31T00:30:00Z
GN6DCMJVGQZTIOBQGM2XYMJXMYYTSMTGMZSDK,112,2,191.97,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TINJZHEZXYMJXMY3TGOJVGE3DK,112,2,103.28,resale,2026-03-31T00:30:00Z
GN6DCMJVGU4DENZXGU3HYMJXMY3TCYLDGQ3DK,112,2,95.99,resale,2026-03-31T00:30:00Z
GN6DCMJUGAYTOMZUGY2XYMJXMY3TGMJWHA3DK,113,2,87.48,resale,2026-03-31T00:30:00Z
GJ6DC7BVGY,114,4,174.7,standard,2026-03-31T00:30:00Z
GN6DCMJVGU2TONZXHE4XYMJXMY3DIN3DGAYTK,114,2,303.75,resale,2026-03-31T00:30:00Z
GN6DCMJUHEZDCMBWGI3XYMJXMY3TCNRXGBSTK,114,2,315.9,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TIMZWGA4HYMJXMY3GIOBSGQZDK,114,4,270.95,resale,2026-03-31T00:30:00Z
GN6DCMJUHE4DMNJUGEYHYMJXMY3TEMRWGVRDK,114,3,139.73,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TAMZXGEZXYMJXMY3GEZDFG5STK,115,4,486.0,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DCNJRGQ3HYMJXMY3TGZLCGRRDK,115,4,273.38,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYDMOJWGM3XYMJXMY3TGYLCGA2DK,115,2,194.4,resale,2026-03-31T00:30:00Z
GN6DCMJVGM2TSMBXGYZXYMJXMY3DSM3DMFQTK,116,2,200.48,resale,2026-03-31T00:30:00Z
GJ6DC7BVGQ,117,3,390.2,standard,2026-03-31T00:30:00Z
GN6DCMJVGUZDEMRTHE2XYMJXMY2GIM3EMJSTK,117,1,334.13,resale,2026-03-31T00:30:00Z
GN6DCMJUGY2TOMRQGUZHYMJXMY3DENJZGA2TK,117,3,273.38,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2DQMBWGA2HYMJXMY2WKMLFGNTDK,117,4,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGU4DKNRVHEYXYMJXMY3TGNBXGM4TK,117,2,267.3,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TANRTHE2HYMJXMY3GGMDBMU2DK,118,2,115.43,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYDSNZWG4YHYMJXMY2DMYRUHFRTK,118,2,157.95,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TENZTGA4XYMJXMY3TAOBTMQ2DK,118,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDGNZZGIZXYMJXMY3GMN3DHAYTK,119,2,151.88,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2DSMJVGIYXYMJXMY2WKZJXMY4DK,119,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJRGI2TSOJZGA3XYMJXMY3DCMRZMI3TK,119,2,121.5,resale,2026-03-31T00:30:00Z
GJ6DC7BVHA,120,5,117.7,standard,2026-03-31T00:30:00Z
GN6DCMJVGQ2DKOBSGI2HYMJXMY3GGOLDGFSDK,120,2,188.33,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYTAOJWGAZHYMJXMY3TGOLGGJTDK,204,3,103.28,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYDGNZUGM4HYMJXMY2DIMDGGI2TK,204,2,157.95,resale,2026-03-31T00:30:00Z
GN6DCMJUGU4DKMZXHAYXYMJXMY3TGNZXG4YTK,204,1,85.05,resale,2026-03-31T00:30:00Z
GN6DCMJVGUZDENZVGY2HYMJXMY2GIOJSG5RTK,205,4,89.91,resale,2026-03-31T00:30:00Z
GN6DCMJVGU2TGNRXGA4XYMJXMY3TIYJWMQ2DK,205,4,59.54,resale,2026-03-31T00:30:00Z
GN6DCMJSGA4TQNRXGEZXYMJXMY2WEODBGU4DK,206,2,117.86,resale,2026-03-31T00:30:00Z
GN6DCMJVGM3TQOJVGQYHYMJXMY3GKNZUGBSDK,206,4,103.28,resale,2026-03-31T00:30:00Z
GN6DCMJSGU2TENJTGMYHYMJXME3WKYJRGE3TK,207,1,218.7,resale,2026-03-31T00:30:00Z
GN6DCMJSGU2TENJTGMZHYMJXME3WKYJUGJTDK,207,1,218.7,resale,2026-03-31T00:30:00Z
GN6DCMJUGY3DQMBTHEYXYMJXMY3GMOJTMY2TK,207,2,170.1,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3DSMJZGUZXYMJXMY3TANRVMIYTK,207,2,218.7,resale,2026-03-31T00:30:00Z
GN6DCMJVGQ4TSOJVHE3XYMJXMY2WGNZSGQZTK,209,2,182.25,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TOOBYGI2XYMJXMY3GMNTBGJQTK,210,2,127.58,resale,2026-03-31T00:30:00Z
GN6DCMJVGUYDCMJYHA2XYMJXMY3TGZRXGRTDK,210,2,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJVGM2TMMZZGI4XYMJXMY3GEZRXGBQTK,210,2,91.13,resale,2026-03-31T00:30:00Z
GN6DCMBXGQ2TKOJVHE4XYMJXMY3TCZLFMY4TK,210,2,104.49,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TIMJYG42XYMJXMY3GINTEGQZTK,210,2,130.01,resale,2026-03-31T00:30:00Z
GN6DCMJUGYYTKNRZG43HYMJXMY3GKODEGJRTK,211,2,139.73,resale,2026-03-31T00:30:00Z
GN6DCMBWGIZTAMBTGE2XYMJXMYZTQNRXMZQTK,211,2,151.88,resale,2026-03-31T00:30:00Z
GN6DCMJUHE3TONRUGE3XYMJXMY3GKMLBMYZTK,212,2,72.9,resale,2026-03-31T00:30:00Z
GN6DCMJVGU3TGMBUGA3HYMJXMY3GIMDFHE2TK,213,2,91.13,resale,2026-03-31T00:30:00Z
GN6DCMJUGMYTOMJXGYZHYMJXMY3TEZRSHEYDK,219,2,115.43,resale,2026-03-31T00:30:00Z
